,quarter,roa
0,2009Q4,-2.18
1,2010Q1,0.0
2,2010Q2,0.0
3,2010Q3,2.4
4,2010Q4,17.65
5,2011Q1,0.17
6,2011Q2,0.2
7,2011Q3,0.09
8,2011Q4,1.5
9,2012Q1,0.1
10,2012Q2,0.32
11,2012Q3,-11.63
12,2012Q4,0.38
13,2013Q1,0.44
14,2013Q2,0.28
15,2013Q3,0.46
16,2013Q4,8.15
17,2014Q1,0.03
18,2014Q2,-0.25
19,2014Q3,0.47
20,2014Q4,1.16
21,2015Q1,4.06
22,2015Q2,2.82
23,2015Q3,0.72
24,2015Q4,-7.69
25,2016Q1,0.09
26,2016Q2,0.15
27,2016Q3,-0.17
28,2016Q4,-0.23
29,2017Q1,3.61
30,2017Q2,0.12
31,2017Q3,0.99
32,2017Q4,1.64
33,2018Q1,0.63
34,2018Q2,1.77
35,2018Q3,1.44
36,2018Q4,0.57
37,2019Q1,0.05
38,2019Q2,-0.54
39,2019Q3,-0.48
40,2019Q4,1.92
41,2020Q1,0.46
42,2020Q2,0.72
43,2020Q3,0.52
44,2020Q4,0.51
45,2021Q1,0.6
46,2021Q2,0.43
47,2021Q3,1.53
48,2021Q4,4.46
49,2022Q1,1.75
50,2022Q2,0.17
