,quarter,roa
0,2008Q1,0.86
1,2008Q2,0.48
2,2008Q3,0.13
3,2008Q4,0.36
4,2009Q1,0.2
5,2009Q2,0.22
6,2009Q3,0.43
7,2009Q4,0.59
8,2010Q1,0.23
9,2010Q2,1.64
10,2010Q3,0.72
11,2010Q4,0.57
12,2011Q1,0.28
13,2011Q2,0.25
14,2011Q3,0.05
15,2011Q4,0.87
16,2012Q1,0.09
17,2012Q2,0.19
18,2012Q3,0.34
19,2012Q4,-0.14
20,2013Q1,0.05
21,2013Q2,0.05
22,2013Q3,0.03
23,2013Q4,0.12
24,2014Q1,0.08
25,2014Q2,0.81
26,2014Q3,0.85
27,2014Q4,1.64
28,2015Q1,0.69
29,2015Q2,2.6
30,2015Q3,1.96
31,2015Q4,1.44
32,2016Q1,1.1
33,2016Q2,-27.14
34,2016Q3,-11.64
35,2016Q4,-4.56
36,2017Q1,-0.41
37,2017Q2,0.62
38,2017Q3,0.18
39,2017Q4,0.61
40,2018Q1,0.01
41,2018Q2,-16.4
42,2018Q3,0.12
43,2018Q4,1.18
44,2019Q1,0.08
45,2019Q2,-10.86
46,2019Q3,-6.56
47,2019Q4,-13.62
48,2020Q1,0.2
49,2020Q2,0.88
50,2020Q3,0.61
51,2020Q4,-1.4
52,2021Q1,-1.75
53,2021Q2,1.78
54,2021Q3,0.05
55,2021Q4,0.25
56,2022Q1,0.54
57,2022Q2,-0.24
