quarter,s,ln_s
2012Q3,0.06839412994288624,0.006944956493694281
2012Q4,0.08878814928023661,0.007510633422674644
2013Q1,0.13807539418968612,0.010254138163616878
2013Q2,0.10983639405065834,0.007803245036314115
2013Q3,0.11311942189404356,0.00766542004983804
2013Q4,0.10805248432225148,0.006629997917239977
2014Q1,0.4032709055686109,0.02188015119259864
2014Q2,0.0754504631796091,0.004531615472854208
2014Q3,0.06550530679349591,0.003982049329250296
2014Q4,0.3281800769474406,0.015052500077045297
2015Q1,0.14038293774298455,0.006565171120972957
2015Q2,0.1583633568532975,0.006840928375509081
2015Q3,0.3267619082496991,0.01170959343055286
2015Q4,0.1640949830605213,0.006037964271416108
2016Q1,0.1131935062501411,0.005105757527305624
2016Q2,0.009792810774107432,0.00043973887133848944
2016Q3,0.029431765962115573,0.0009602647889367171
2016Q4,9.838284033601364e-16,3.0744637605004337e-17
2017Q1,2.1451766916486033e-16,3.7634678800852764e-18
2017Q2,0.052679271412165454,0.0023394287319622987
2017Q3,0.02465387171343674,0.0011410395921137057
2017Q4,3.2794280112004557e-16,1.3664283380001927e-17
2018Q1,7.050890086215894e-16,3.5059674461847047e-17
2018Q2,0.05046886208372636,0.002561506616652068
2018Q3,0.018063011153140286,0.0008464487014776279
2018Q4,0.19307593072710932,0.01139986231171393
2019Q1,0.07948257518422813,0.00467596573113404
2019Q2,0.015918941494304988,0.0009912133637951669
2019Q3,0.03004260295647886,0.001722665518767933
2019Q4,0.0,0.0
2020Q1,0.05228651956727475,0.0032543459560832335
2020Q2,0.18392921806584486,0.011138292873512737
2020Q3,0.11504735077628146,0.007190243449451133
2020Q4,0.14986458998558724,0.009262836157042468
2021Q1,0.0077994076386281455,0.0004250093306604832
2021Q2,0.10107179782699498,0.006278672007957244
2021Q3,0.02742882630451062,0.0015548099003999407
2021Q4,0.11143185985396586,0.006731850860251272
2022Q1,0.15555043681127909,0.01011279990161771
2022Q2,0.26845789034082174,0.019513422539894163
2022Q3,0.0845830236145586,0.0054860636539585325
