quarter,trend
2005Q1,14.18918918918919
2005Q2,14.18918918918919
2005Q3,11.486486486486486
2005Q4,12.162162162162161
2006Q1,15.202702702702704
2006Q2,14.527027027027026
2006Q3,16.554054054054053
2006Q4,15.54054054054054
2007Q1,18.58108108108108
2007Q2,21.62162162162162
2007Q3,25.675675675675677
2007Q4,30.743243243243242
2008Q1,38.851351351351354
2008Q2,53.71621621621622
2008Q3,57.432432432432435
2008Q4,66.21621621621621
2009Q1,86.48648648648648
2009Q2,87.83783783783784
2009Q3,100.0
2009Q4,96.95945945945945
2010Q1,97.97297297297297
2010Q2,88.51351351351352
2010Q3,91.55405405405405
2010Q4,91.21621621621621
2011Q1,97.29729729729729
2011Q2,96.62162162162163
2011Q3,89.86486486486487
2011Q4,90.20270270270271
2012Q1,96.28378378378379
2012Q2,91.89189189189189
2012Q3,87.83783783783784
2012Q4,80.4054054054054
2013Q1,75.67567567567568
2013Q2,74.32432432432432
2013Q3,67.9054054054054
2013Q4,62.5
2014Q1,67.56756756756756
2014Q2,65.54054054054055
2014Q3,60.810810810810814
2014Q4,55.74324324324324
2015Q1,51.689189189189186
2015Q2,54.391891891891895
2015Q3,50.33783783783784
2015Q4,44.25675675675676
2016Q1,44.25675675675676
2016Q2,42.567567567567565
2016Q3,38.513513513513516
2016Q4,32.770270270270274
2017Q1,32.770270270270274
2017Q2,30.743243243243242
2017Q3,28.04054054054054
2017Q4,25.0
2018Q1,25.0
2018Q2,21.62162162162162
2018Q3,21.283783783783782
2018Q4,18.58108108108108
2019Q1,19.256756756756758
2019Q2,22.972972972972972
2019Q3,18.58108108108108
2019Q4,16.554054054054053
2020Q1,17.56756756756757
2020Q2,18.243243243243242
2020Q3,16.89189189189189
2020Q4,14.864864864864865
2021Q1,15.54054054054054
2021Q2,16.554054054054053
2021Q3,16.216216216216218
2021Q4,12.837837837837839
2022Q1,13.513513513513514
2022Q2,14.18918918918919
2022Q3,13.175675675675675
