,date,quarter,price,shares_est,market_cap
0,2005-03-31,2005Q1,9.3,1587336.8262143682,14762232484
1,2005-06-30,2005Q2,9.0,1587292.1108742005,14285628998
2,2005-09-30,2005Q3,10.2,1587239.5833333333,16189843750
3,2005-12-30,2005Q4,12.2,1587292.8610696616,19364972905
4,2006-03-31,2006Q1,18.8,1587203.7503255492,29839430506
5,2006-06-30,2006Q2,18.7,1587337.1504439465,29683204713
6,2006-09-29,2006Q3,21.4,1587336.5884391242,33969002993
7,2006-12-29,2006Q4,31.6,1587357.4653707813,50160495906
8,2007-03-30,2007Q1,46.3,1587297.5920798725,73491878513
9,2007-06-29,2007Q2,34.0,1587324.742685793,53969041251
10,2007-09-28,2007Q3,34.8,1587237.9778051788,55235881628
11,2007-12-28,2007Q4,39.0,1587330.6481142438,61905895276
12,2008-03-31,2008Q1,18.1,1587285.3489221777,28729864815
13,2008-06-30,2008Q2,13.3,2237203.8607780053,29754811348
14,2008-09-30,2008Q3,14.7,2237269.087588677,32887855588
15,2008-12-31,2008Q4,9.9,2237261.473223446,22148888585
16,2009-03-31,2009Q1,9.6,2237260.352077543,21477699380
17,2009-06-30,2009Q2,17.0,2237322.108639006,38034475847
18,2009-09-30,2009Q3,24.0,2237315.875613748,53695581015
19,2009-12-31,2009Q4,22.0,2237303.506650544,49220677146
20,2010-03-31,2010Q1,20.5,2237268.7392714093,45864009155
21,2010-06-30,2010Q2,21.5,2237230.89911355,48100464331
22,2010-09-30,2010Q3,20.3,2237275.362318841,45416689855
23,2010-12-31,2010Q4,17.8,2237263.9625763022,39823298534
24,2011-03-31,2011Q1,15.6,2237269.909545196,34901410589
25,2011-06-30,2011Q2,11.7,2237290.204455294,26176295392
26,2011-09-30,2011Q3,11.1,2237334.1197286937,24834408729
27,2011-12-30,2011Q4,9.5,2237204.3373223213,21253441205
28,2012-03-30,2012Q1,14.0,2237293.343986233,31322106816
29,2012-06-29,2012Q2,12.3,2237264.855180651,27518357719
30,2012-09-28,2012Q3,11.0,2237269.4582995013,24609964041
31,2012-12-28,2012Q4,13.8,2237357.8105642525,30875537786
32,2013-03-29,2013Q1,11.8,2237301.1519473395,26400153593
33,2013-06-28,2013Q2,17.8,2237294.0156114483,39823833478
34,2013-09-27,2013Q3,19.7,2237267.5828617625,44074171382
35,2013-12-31,2013Q4,13.4,2237269.394168655,29979409882
36,2014-03-31,2014Q1,12.7,2237276.3993075592,28413410271
37,2014-06-30,2014Q2,12.2,2237344.4484716686,27295602271
38,2014-09-30,2014Q3,14.6,2237272.7821728364,32664182620
39,2014-12-31,2014Q4,11.7,2237342.908438061,26176912029
40,2015-03-31,2015Q1,16.0,2237266.8579626973,35796269727
41,2015-06-30,2015Q2,15.6,2237263.552305554,34901311416
42,2015-09-30,2015Q3,18.0,2237327.463112804,40271894336
43,2015-12-31,2015Q4,24.3,2237276.196066921,54365811564
44,2016-03-31,2016Q1,30.3,2237247.717094166,67788605828
45,2016-06-30,2016Q2,35.5,2237333.175859218,79425327743
46,2016-09-30,2016Q3,36.0,2237360.4535624525,80544976328
47,2016-12-30,2016Q4,37.9,2237237.581736836,84791304348
48,2017-03-31,2017Q1,30.0,2237306.652866425,67119199586
49,2017-06-30,2017Q2,18.0,2237233.662659208,40270205928
50,2017-09-29,2017Q3,14.5,2237286.156361301,32440649267
51,2017-12-29,2017Q4,14.6,2237273.1785340025,32664188407
52,2018-03-30,2018Q1,13.5,2237196.912036533,30202158312
53,2018-06-29,2018Q2,18.0,2237238.1233402183,40270286220
54,2018-09-28,2018Q3,16.8,2237297.789929369,37586602871
55,2018-12-28,2018Q4,27.1,2237282.250130216,60630348979
56,2019-03-29,2019Q1,46.3,2237259.3431483577,103585107588
57,2019-06-28,2019Q2,49.9,2237277.4988589687,111640147193
58,2019-09-30,2019Q3,14.7,2237300.783540323,32888321518
59,2019-12-31,2019Q4,13.4,2237308.771372611,29979937536
60,2020-03-31,2020Q1,9.3,2237295.210268183,20806845455
61,2020-06-30,2020Q2,11.2,2237301.9928461933,25057782320
62,2020-09-30,2020Q3,15.0,2237340.988962035,33560114834
63,2020-12-31,2020Q4,19.0,2237267.6219984507,42508084818
64,2021-03-31,2021Q1,16.2,2237286.6747112568,36244044130
65,2021-06-30,2021Q2,16.6,2237232.2193658957,37138054841
66,2021-09-30,2021Q3,19.2,2237297.480702349,42956111629
67,2021-12-31,2021Q4,28.2,2237239.583333333,63090156250
68,2022-03-31,2022Q1,24.1,2237281.6524289176,53918487824
69,2022-06-30,2022Q2,18.0,2237318.2767972257,40271728982
