quarter,s,ln_s
2011Q3,0.06138552565226637,0.007478275885730602
2011Q4,0.05302442620022229,0.0073672812050255545
2012Q1,0.04074613134868353,0.007241256098625174
2012Q2,0.09612261278887772,0.013941773036789524
2012Q3,0.07995428824499054,0.014153603558084324
2012Q4,0.04382164174541806,0.011511333684336812
2013Q1,0.04807008512120391,0.011787045360587894
2013Q2,0.05776219134526702,0.01666635725485243
2013Q3,0.06990713080811979,0.019964914911839885
2013Q4,0.06283936677985745,0.013345511045687304
2014Q1,0.07620245398494684,0.011325359048624606
2014Q2,0.08177815325689722,0.012453601835144537
2014Q3,0.09495723310405155,0.011284640579863066
2014Q4,0.09801503281542194,0.009045840184746478
2015Q1,0.08962457794639546,0.008241761229473794
2015Q2,0.08464441357615857,0.008680873541802166
2015Q3,0.10910487454761421,0.01068270132920338
2015Q4,0.1040640252136334,0.011170302284529155
2016Q1,0.09804788365956144,0.01056072549678411
2016Q2,0.07600282651043642,0.008327638752418782
2016Q3,0.1033467845489791,0.010176954520379042
2016Q4,0.24115635939308766,0.022831102393182163
2017Q1,0.1003799073638909,0.009109977743495649
2017Q2,0.12407983651603353,0.01024427980363041
2017Q3,0.197173675400094,0.013152828270396653
2017Q4,0.15638617983411693,0.011801783452031214
2018Q1,0.17917619879601632,0.012013223220763446
2018Q2,0.08972822673552489,0.006711286431442759
2018Q3,0.07592249779731912,0.006428249847456409
2018Q4,0.11297393126158875,0.00998162110256296
2019Q1,0.0745972117511189,0.0076507549109635815
2019Q2,0.045664573899712055,0.005001176821158325
2019Q3,0.049472828360744535,0.00660253955002519
2019Q4,0.03843400744768539,0.005377126771982766
2020Q1,0.10397839208077476,0.012355106885449088
2020Q2,0.07038691792613784,0.008877937688701529
2020Q3,0.054539365019454965,0.006705233182104973
2020Q4,0.08887660958909128,0.008880987520847934
2021Q1,0.1352758892738433,0.009826055863028897
2021Q2,0.1988733244744528,0.011547754664200403
2021Q3,0.2908951035346842,0.01284046575372448
2021Q4,0.3660638968396456,0.010114607182714041
2022Q1,0.35060373329299577,0.009678397516897587
2022Q2,0.2719277223257339,0.010948613597002603
2022Q3,0.3518630823574461,0.01356461743948621
