,quarter,roa
0,2009Q1,0.07
1,2009Q2,0.0
2,2009Q3,0.0
3,2010Q3,0.0
4,2011Q1,0.98
5,2011Q2,0.0
6,2011Q3,1.15
7,2011Q4,3.89
8,2012Q1,1.07
9,2012Q2,-0.37
10,2012Q3,-0.59
11,2012Q4,0.28
12,2013Q1,0.78
13,2013Q2,0.8
14,2013Q3,0.38
15,2013Q4,3.41
16,2014Q1,1.11
17,2014Q2,0.96
18,2014Q3,1.88
19,2014Q4,1.15
20,2015Q1,0.59
21,2015Q2,1.16
22,2015Q3,0.38
23,2015Q4,0.24
24,2016Q1,0.13
25,2016Q2,-0.11
26,2016Q3,0.56
27,2016Q4,0.46
28,2017Q1,0.08
29,2017Q2,0.12
30,2017Q3,0.23
31,2017Q4,0.46
32,2018Q1,0.42
33,2018Q2,0.52
34,2018Q3,0.28
35,2018Q4,0.94
36,2019Q1,0.48
37,2019Q2,0.27
38,2019Q3,0.13
39,2019Q4,1.38
40,2020Q1,0.52
41,2020Q2,0.7
42,2020Q3,0.53
43,2020Q4,0.83
44,2021Q1,0.44
45,2021Q2,0.32
46,2021Q3,0.6
47,2021Q4,2.74
48,2022Q1,0.51
49,2022Q2,0.7
