,date,quarter,price,shares_est,lev,market_cap
0,2008-09-30,2008Q3,18.6,2000000.0,0.7189676048343299,37200000000
1,2008-12-31,2008Q4,10.0,1999927.2462713716,0.6659705698289654,19999272463
2,2009-03-31,2009Q1,7.7,2000076.3650248183,0.6647679165929474,15400588011
3,2009-06-30,2009Q2,11.8,2000076.3650248183,0.6647679165929474,23600901107
4,2009-09-30,2009Q3,15.0,1995603.8870893104,0.7368400515525566,29934058306
5,2009-12-31,2009Q4,14.7,2499962.510309665,0.7474972299504411,36749448902
6,2010-03-31,2010Q1,12.4,2495580.4798336183,0.6804755047030384,30945197950
7,2010-06-30,2010Q2,18.0,2499964.03136465,0.6928879896258993,44999352565
8,2010-09-30,2010Q3,12.6,2499961.6652610595,0.7166599557757555,31499516982
9,2010-12-31,2010Q4,10.1,3999918.046221931,0.667046715426515,40399172267
10,2011-03-31,2011Q1,8.1,3999920.823436263,0.6732948051092963,32399358670
11,2011-06-30,2011Q2,6.2,4000000.0,0.6911907472077667,24800000000
12,2011-09-30,2011Q3,6.7,4000000.0,0.6908505677694116,26800000000
13,2011-12-30,2011Q4,5.3,4000074.811101968,0.7224851469228073,21200396499
14,2012-03-30,2012Q1,7.0,4000072.780203784,0.7199915005606715,28000509461
15,2012-06-29,2012Q2,7.1,4000139.86013986,0.709150226514096,28400993007
16,2012-09-28,2012Q3,8.0,4000074.7104968247,0.7334710509497412,32000597684
17,2012-12-28,2012Q4,11.2,4000000.0,0.7259806974119752,44800000000
18,2013-03-29,2013Q1,9.0,4000065.269891,0.6990830025052615,36000587429
19,2013-06-28,2013Q2,13.0,4000126.374320738,0.7231320577560778,52001642866
20,2013-09-30,2013Q3,14.7,3999933.413237448,0.7569489990334511,58799021175
21,2013-12-31,2013Q4,13.6,5000000.0,0.7182287190536318,68000000000
22,2014-03-31,2014Q1,15.6,4999931.138961576,0.7166110378512958,77998925768
23,2014-06-30,2014Q2,15.4,5000000.0,0.7389138555299104,77000000000
24,2014-09-30,2014Q3,13.6,5000068.99406651,0.7390855167929602,68000938319
25,2014-12-31,2014Q4,13.5,5299607.563325009,0.7596492198163981,71544702105
26,2015-03-31,2015Q1,13.1,5999663.004650536,0.7341958849013401,78595585361
27,2015-06-30,2015Q2,12.7,5999742.732184203,0.7176224127063786,76196732699
28,2015-09-30,2015Q3,13.0,5999797.97979798,0.730442015156137,77997373737
29,2015-12-31,2015Q4,19.6,5999666.444296197,0.703423643325429,117593462308
30,2016-03-31,2016Q1,29.0,5999807.024314936,0.716786399635674,173994403705
31,2016-06-30,2016Q2,24.5,5995555.555555556,0.6850500876720695,146891111111
32,2016-09-30,2016Q3,27.0,6599647.381480997,0.7142671335840096,178190479300
33,2016-12-30,2016Q4,35.0,6595034.960549105,0.7271897427759726,230826223619
34,2017-03-31,2017Q1,34.8,6595218.361491871,0.7530685592370286,229513598980
35,2017-06-30,2017Q2,17.1,9997612.225405922,0.7931471263049524,170959169054
36,2017-09-29,2017Q3,15.7,9997440.273037544,0.8043155119767458,156959812287
37,2017-12-29,2017Q4,15.5,9998302.367254552,0.7980885323496243,154973686692
38,2018-03-30,2018Q1,10.8,9997592.146693831,0.8025897350419222,107973995184
39,2018-06-29,2018Q2,9.5,9997526.33989922,0.8298085698046274,94976500229
40,2018-09-28,2018Q3,11.0,9997664.46087972,0.759329449659104,109974309070
41,2018-12-28,2018Q4,10.0,14238282.346337356,0.793654515684531,142382823463
42,2019-03-29,2019Q1,12.4,14237957.16022823,0.798344831279483,176550668787
43,2019-06-28,2019Q2,12.1,14237668.809128333,0.7429069195190816,172275792590
44,2019-09-30,2019Q3,10.0,20000664.325709406,0.7232497173715641,200006643257
45,2019-12-31,2019Q4,10.4,20000372.75184046,0.7347659566965451,208003876619
46,2020-03-31,2020Q1,11.0,19999258.504031885,0.7404171660409838,219991843544
47,2020-06-30,2020Q2,13.3,19999270.804849148,0.7348207046871312,265990301704
48,2020-09-30,2020Q3,10.8,20000826.218672544,0.7463451143281903,216008923162
49,2020-12-31,2020Q4,11.7,20000631.71193936,0.7479615338493713,234007391030
50,2021-03-31,2021Q1,12.5,20000628.535512257,0.7462735012036953,250007856694
51,2021-06-30,2021Q2,11.5,19999910.666428443,0.7864116842656684,229998972664
52,2021-09-30,2021Q3,13.0,19999375.2231346,0.8010116673954505,259991877901
53,2021-12-31,2021Q4,11.6,19999576.39939485,0.7344118903304206,231995086233
54,2022-03-31,2022Q1,14.3,29999639.70455774,0.7313798056328331,428994847775
55,2022-06-30,2022Q2,11.4,30001062.605153635,0.7826650060121734,342012113699
