,Quý,Thu nhập lãi thuần(MilVND),Chi phí hoạt động(MilVND),Tổng TNTT(MilVND),Tổng LNST(MilVND),LNST của CĐ Ngân hàng mẹ(MilVND),Tổng tài sản(MilVND)," - Tiền, vàng gửi và cho vay các TCTD(MilVND)", - Cho vay khách hàng(MilVND),Nợ phải trả(MilVND), - Tiền gửi và vay các TCTD(MilVND), - Tiền gửi của khách hàng(MilVND),Vốn và các quỹ(MilVND), - Vốn của TCTD(MilVND), - Lợi nhuận chưa phân phối(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROEA(%),ROAA(%)
0,2006Q2,147054.0,,181393.0,130603.0,130603.0,18853391.0,12093894.0,,16164671.0,969620.0,12865086.0,2688720.0,1900421.0,286813.0,688.0,14155.0,0.0,9.71,1.39
1,2006Q3,166290.0,95757.0,126816.0,91308.0,91308.0,22074755.0,15086681.0,,19262212.0,690199.0,15518450.0,2812543.0,1900421.0,413628.0,1168.0,14807.0,60.35,3.32,0.45
2,2006Q4,217752.0,126151.0,129626.0,93331.0,93331.0,24855444.0,16428857.0,,22051761.0,938096.0,17658063.0,2803683.0,2090361.0,407910.0,1586.0,13419.0,45.41,3.32,0.4
3,2007Q1,259719.0,109209.0,302507.0,267663.0,267663.0,31973164.0,5360887.0,17151879.0,28950998.0,1855042.0,23221995.0,3022166.0,2248726.0,555899.0,2884.0,14464.0,51.31,9.08,0.94
4,2007Q2,,,308944.0,268861.0,268861.0,38391019.0,7806905.0,19054992.0,35105299.0,3043619.0,26392709.0,3285720.0,2499412.0,573139.0,3538.0,14041.0,18.65,8.52,0.76
5,2007Q3,259538.0,184031.0,394940.0,356789.0,356789.0,49589237.0,5607537.0,24184485.0,42813218.0,1870337.0,34936468.0,6776019.0,5662484.0,929929.0,4199.0,15231.0,16.67,7.09,0.81
6,2007Q4,,,445727.0,386851.0,386851.0,63484419.0,4305092.0,34139260.0,56303785.0,4849317.0,44026674.0,7180634.0,5662485.0,1316114.0,4304.0,16141.0,15.22,5.54,0.68
7,2008Q1,466122.0,292981.0,412350.0,356985.0,356985.0,76285946.0,6617311.0,42344924.0,69429688.0,5173678.0,52598124.0,6856258.0,5662485.0,561689.0,3884.0,15411.0,9.55,5.03,0.51
8,2008Q2,354532.0,309683.0,324975.0,280792.0,280792.0,75371575.0,4438465.0,38933861.0,68244582.0,5791078.0,48292319.0,7126993.0,5662485.0,836042.0,3369.0,16020.0,6.5,4.02,0.37
9,2008Q3,55050.0,317328.0,214315.0,175649.0,175649.0,66591889.0,5210700.0,32753160.0,58622040.0,2318003.0,45715542.0,7969849.0,6329502.0,1009231.0,2621.0,15579.0,9.08,2.33,0.25
10,2008Q4,265197.0,350984.0,291460.0,255712.0,255712.0,68556035.0,7108594.0,34534547.0,60683025.0,4488355.0,46129830.0,7873010.0,5977579.0,1080983.0,2246.0,15390.0,8.19,3.23,0.38
11,2009Q1,491455.0,339401.0,392010.0,297397.0,297397.0,74480412.0,9137019.0,40484695.0,67323128.0,1093619.0,56871152.0,7157284.0,5977579.0,407434.0,2070.0,13990.0,7.83,3.99,0.42
12,2009Q2,616454.0,349064.0,619346.0,481761.0,481761.0,83633851.0,9582772.0,48841058.0,75999420.0,1449435.0,57066644.0,7634431.0,5977579.0,861741.0,2427.0,14923.0,14.38,6.51,0.61
13,2009Q3,634643.0,415544.0,523140.0,409061.0,409061.0,98242560.0,12729146.0,56410975.0,88896649.0,153028.0,64529573.0,9345911.0,7260804.0,1290226.0,2834.0,15886.0,11.64,4.82,0.45
14,2009Q4,630655.0,580742.0,614907.0,486551.0,486551.0,104060455.0,15122690.0,59315218.0,93277341.0,3139164.0,60527019.0,10552973.0,8078178.0,1474034.0,3044.0,15750.0,7.92,4.89,0.48
15,2010Q1,620007.0,483010.0,567454.0,434864.0,426257.0,107721990.0,13303037.0,61782742.0,97853390.0,3772693.0,62950877.0,9682848.0,8078178.0,619909.0,3053.0,14451.0,7.11,4.21,0.4
16,2010Q2,834144.0,504834.0,933979.0,735734.0,771762.0,118553352.0,7040710.0,73676133.0,108081553.0,6589469.0,73128047.0,10005277.0,8078178.0,1306353.0,3300.0,14932.0,6.3,7.84,0.68
17,2010Q3,972443.0,555177.0,504379.0,371040.0,371040.0,133539008.0,16925735.0,78118493.0,119885533.0,10342371.0,80938013.0,13164269.0,10896963.0,1703660.0,3072.0,14341.0,5.44,3.2,0.29
