,date,quarter,price,shares_est,lev,market_cap
0,2008-09-30,2008Q3,11.8,2999908.4416773487,0.3604333328043465,35398919612
1,2008-12-31,2008Q4,6.7,2999908.4416773487,0.3604333328043465,20099386559
2,2009-03-31,2009Q1,5.1,3000138.2934587197,0.6278838294330292,15300705297
3,2009-06-30,2009Q2,10.0,3000000.0,0.5929685592317504,30000000000
4,2009-09-30,2009Q3,11.5,3000000.0,0.5553343163659699,34500000000
5,2009-12-31,2009Q4,12.5,3000000.0,0.5130655432272238,37500000000
6,2010-03-31,2010Q1,15.1,3000000.0,0.4366366396686828,45300000000
7,2010-06-30,2010Q2,25.4,3000095.456281023,0.4550372731916547,76202424590
8,2010-09-30,2010Q3,21.0,2999904.8706240486,0.4323565333653155,62998002283
9,2010-12-31,2010Q4,13.8,3000095.574882921,0.4153473567638786,41401318933
10,2011-03-31,2011Q1,8.5,3000000.0,0.4607407073927181,25500000000
11,2011-06-30,2011Q2,5.7,3000000.0,0.4283571247714418,17100000000
12,2011-09-30,2011Q3,4.8,3000000.0,0.4327544543404232,14400000000
13,2011-12-30,2011Q4,2.5,3000000.0,0.4842486862671121,7500000000
14,2012-03-30,2012Q1,3.5,2999903.75360924,0.457949280756334,10499663138
15,2012-06-29,2012Q2,3.8,2999903.75360924,0.457949280756334,11399634264
16,2012-09-28,2012Q3,3.0,3000100.8674601573,0.4462194334986793,9000302602
17,2012-12-28,2012Q4,2.6,3000000.0,0.5427577877457225,7800000000
18,2013-03-29,2013Q1,2.1,2999855.4704437056,0.5764167960568806,6299696488
19,2013-06-28,2013Q2,2.7,2999867.6022772407,0.5993067607599561,8099642526
20,2013-09-30,2013Q3,2.2,3000000.0,0.4969794404934421,6600000000
21,2013-12-31,2013Q4,3.5,2999859.432105707,0.4214492796527427,10499508012
22,2014-03-31,2014Q1,4.9,2999861.687413554,0.3716793542200135,14699322268
23,2014-06-30,2014Q2,3.5,3000137.816979052,0.3338331497082701,10500482359
24,2014-09-30,2014Q3,3.8,3000135.8695652173,0.3895891969483829,11400516304
25,2014-12-31,2014Q4,4.0,3000116.022740457,0.3021724382088129,12000464091
26,2015-03-31,2015Q1,6.3,3000000.0,0.2770491727582193,18900000000
27,2015-06-30,2015Q2,5.6,2999889.061459951,0.2897404840896069,16799378744
28,2015-09-30,2015Q3,5.0,2999893.287802796,0.3425711465990517,14999466439
29,2015-12-31,2015Q4,8.0,3000097.991180794,0.2538142760464471,24000783929
30,2016-03-31,2016Q1,8.2,3000000.0,0.1218085070387557,24600000000
31,2016-06-30,2016Q2,7.8,3000000.0,0.0630278563271191,23400000000
32,2016-09-30,2016Q3,8.0,2999895.8007710744,0.0194475658374181,23999166406
33,2016-12-30,2016Q4,5.7,2931348.794277143,0.1818445230294157,16708688127
34,2017-03-31,2017Q1,8.0,2931205.7618278903,0.1626166177368257,23449646095
35,2017-06-30,2017Q2,7.8,2931291.082723552,0.1810464247731661,22864070445
36,2017-09-29,2017Q3,10.0,2931116.389548694,0.2353378493869365,29311163895
37,2017-12-29,2017Q4,19.1,2931305.356389709,0.0890159568598493,55987932307
38,2018-03-30,2018Q1,18.7,5931138.41873406,0.0006641013992206,110912288430
39,2018-06-29,2018Q2,13.7,5931206.246634357,0.0501897195112599,81257525579
40,2018-09-28,2018Q3,10.9,5931448.38623633,0.0730141510929372,64652787410
41,2018-12-28,2018Q4,9.3,5931558.31427638,0.1150293638040269,55163492323
42,2019-03-29,2019Q1,15.4,5931332.572174197,0.1173115171291927,91342521611
43,2019-06-28,2019Q2,9.6,5931051.344743276,0.0985283891951147,56938092910
44,2019-09-30,2019Q3,8.8,5931388.52672751,0.1191703545785146,52196219035
45,2019-12-31,2019Q4,8.3,5931478.15679234,0.0834354390605608,49231268701
46,2020-03-31,2020Q1,8.9,5930998.664490281,0.0498954062495149,52785888114
47,2020-06-30,2020Q2,7.6,5931445.346226904,0.0455177000634218,45078984631
48,2020-09-30,2020Q3,7.6,5931414.785455799,0.046643029951168,45078752369
49,2020-12-31,2020Q4,4.6,5930720.783764871,0.0484464016491312,27281315605
50,2021-03-31,2021Q1,5.7,5931685.789938217,0.0267327011691516,33810609003
51,2021-06-30,2021Q2,4.4,5931022.707870924,0.0269740335852207,26096499915
52,2021-09-30,2021Q3,5.1,5931509.17743032,0.0580789663973506,30250696805
53,2021-12-31,2021Q4,7.8,5931145.322280494,0.0457527000965488,46262933514
54,2022-03-31,2022Q1,7.2,5930987.821380244,-0.0109265983126737,42703112314
55,2022-06-30,2022Q2,4.0,5931138.254558329,0.0218660587999632,23724553018
