,timestamp,delta_volume,date,note
0,1317834000,4094860,2011-10-06,"Niêm yết cổ phiếu bổ sung - 4,094,860 CP"
1,1317834000,4094860,2011-10-06,"Giao dịch bổ sung - 4,094,860 CP"
2,1345568400,183500,2012-08-22,"Giao dịch bổ sung - 183,500 CP"
3,1345568400,572000,2012-08-22,"Niêm yết cổ phiếu bổ sung - 572,000 CP"
4,1407949200,174500,2014-08-14,"Giao dịch bổ sung - 174,500 CP"
5,1418058000,6428242,2014-12-09,"Niêm yết cổ phiếu bổ sung - 6,428,242 CP"
6,1439917200,155000,2015-08-19,"Giao dịch bổ sung - 155,000 CP"
7,1439917200,964255,2015-08-19,"Niêm yết cổ phiếu bổ sung - 964,255 CP"
8,1450371600,5062339,2015-12-18,"Niêm yết cổ phiếu bổ sung - 5,062,339 CP"
9,1476982800,59000,2016-10-21,"Giao dịch bổ sung - 59,000 CP"
10,1502038800,964255,2017-08-07,"Giao dịch bổ sung - 964,255 CP"
11,1534266000,1265584,2018-08-15,"Niêm yết cổ phiếu bổ sung - 1,265,584 CP"
12,1596387600,1265584,2020-08-03,"Giao dịch bổ sung - 1,265,584 CP"
13,1661274000,37473612,2022-08-24,"Niêm yết cổ phiếu bổ sung - 37,473,612 CP"
14,1662656400,37473612,2022-09-09,"Giao dịch bổ sung - 37,473,612 CP"
