quarter,change_perc_mean,change_perc_stdv
2010Q4,-0.1043103448275862,2.423851590666251
2011Q1,-0.40456140350877196,2.061100668311056
2011Q2,-0.21377049180327867,2.604658111879833
2011Q3,0.03584615384615383,2.0368909306738883
2011Q4,0.192,3.0741397170590665
2012Q1,-0.1793220338983051,2.570697519999917
2012Q2,0.06516129032258065,2.7742857547427953
2012Q3,0.16484374999999998,2.422920965888992
2012Q4,0.21169230769230768,1.9561078776095542
2013Q1,0.18655172413793103,3.078941804846034
2013Q2,-0.3139344262295082,2.1786833016668
2013Q3,-0.2423076923076923,4.13400107690433
2013Q4,-0.11075757575757576,3.0268609333031984
2014Q1,0.2107142857142857,2.9448345266942226
2014Q2,-0.33278688524590166,3.0530133372061243
2014Q3,-0.030624999999999986,2.1761170275195028
2014Q4,-0.009242424242424253,2.1930872588526262
2015Q1,0.42249999999999993,2.2547567899483485
2015Q2,0.10688524590163934,2.5003903301842074
2015Q3,0.4715384615384615,1.9109955118089228
2015Q4,0.16787878787878788,3.7333855599077554
2016Q1,0.17169491525423733,2.2532077919256333
2016Q2,0.05838709677419353,1.9313455714998515
2016Q3,0.05984615384615382,1.9768910980277943
2016Q4,0.2586153846153846,1.6698511132387264
2017Q1,-0.18440677966101693,1.5472971664591626
2017Q2,0.015322580645161296,1.6994673396385556
2017Q3,-0.4590625,1.6703860581713836
2017Q4,-0.16153846153846155,3.1243960570250766
2018Q1,-0.019649122807017513,1.5944848752947953
2018Q2,-0.4379032258064516,2.8061356294393707
2018Q3,-0.06296875000000002,1.9436266867432737
2018Q4,-0.3056923076923077,1.983903167709088
2019Q1,-0.23396551724137932,2.1419248104279762
2019Q2,0.05836065573770495,2.0641932890178256
2019Q3,-0.11492307692307692,1.2529703745960572
2019Q4,-0.05212121212121212,1.7135446977640911
2020Q1,-0.4908620689655172,3.495111515668284
2020Q2,0.5437096774193548,2.4368208487201657
2020Q3,0.35107692307692306,2.8590957503405487
2020Q4,0.5130769230769231,2.5816394519017147
2021Q1,0.6762068965517242,3.564635178590206
2021Q2,0.3145161290322581,2.85154181902304
2021Q3,0.834375,2.696015799374364
2021Q4,-0.02378787878787874,3.13217190075047
2022Q1,0.08362068965517243,2.671135311735352
2022Q2,-0.915,4.344595191390008
2022Q3,-0.30281250000000004,2.223872975667622
