,quarter,roa
0,2011Q3,4.89
1,2011Q4,4.67
2,2012Q1,3.05
3,2012Q2,3.05
4,2012Q3,8.04
5,2012Q4,3.43
6,2013Q1,2.35
7,2013Q2,7.27
8,2013Q3,7.74
9,2013Q4,4.74
10,2014Q1,5.01
11,2014Q2,5.37
12,2014Q3,5.56
13,2014Q4,5.68
14,2015Q1,5.92
15,2015Q2,5.27
16,2015Q3,5.35
17,2015Q4,8.52
18,2016Q1,4.36
19,2016Q2,6.25
20,2016Q3,5.21
21,2016Q4,4.23
22,2017Q1,2.8
23,2017Q2,4.41
24,2017Q3,4.64
25,2017Q4,2.89
26,2018Q1,1.7
27,2018Q2,4.95
28,2018Q3,4.42
29,2018Q4,1.74
30,2019Q1,0.92
31,2019Q2,2.1
32,2019Q3,1.57
33,2019Q4,3.03
34,2020Q1,2.12
35,2020Q2,2.87
36,2020Q3,1.21
37,2020Q4,2.38
38,2021Q1,0.79
39,2021Q2,1.81
40,2021Q3,2.73
41,2021Q4,2.8
42,2022Q1,0.79
43,2022Q2,0.67
