quarter,change_perc_mean,change_perc_stdv
2007Q4,-0.3917142857142857,3.2236255490785943
2008Q1,-2.016896551724138,3.19404665890875
2008Q2,-0.6335,1.670851630005347
2008Q3,0.23343750000000002,3.606374523310211
2008Q4,-0.34060606060606063,3.31512518793107
2009Q1,-0.03275862068965515,2.8789336434120876
2009Q2,1.525806451612903,4.026919885620224
2009Q3,0.5595384615384615,3.4432181670864024
2009Q4,-0.39984848484848484,3.71863105184783
2010Q1,-0.06689655172413794,2.803401572211092
2010Q2,1.0041935483870967,4.065681056567053
2010Q3,-0.646875,3.492404854347025
2010Q4,-0.2237878787878788,3.488420742598186
2011Q1,-0.5092982456140351,2.3909426261631648
2011Q2,-0.38163934426229507,2.937436059064588
2011Q3,0.0023076923076922997,2.6883840227627736
2011Q4,-0.23,2.0440676358672674
2012Q1,0.5127118644067796,2.4291007492545926
2012Q2,0.1367741935483871,2.7178401346208534
2012Q3,-0.1178125,2.5529158360339683
2012Q4,0.08753846153846151,1.9846741158572723
2013Q1,0.3241379310344828,2.653354073675502
2013Q2,0.15475409836065576,2.4432960023687795
2013Q3,-0.042153846153846174,1.933644948914236
2013Q4,0.38681818181818184,2.2039189982957517
2014Q1,0.5219642857142858,2.549228346448718
2014Q2,-0.07852459016393441,2.4223093912391223
2014Q3,0.29984374999999996,1.9366781346988549
2014Q4,0.019090909090909096,1.973593931636649
2015Q1,0.1569642857142857,1.8044590422242714
2015Q2,0.1173770491803279,1.710361464368808
2015Q3,0.012000000000000025,1.8339252642896873
2015Q4,0.23727272727272727,2.291000148040519
2016Q1,0.0032203389830508505,2.0151019831109824
2016Q2,0.4437096774193548,2.246151706386177
2016Q3,0.13153846153846155,1.5563571557177502
2016Q4,0.13753846153846155,1.8213345302700013
2017Q1,0.19084745762711863,2.402757243851604
2017Q2,0.16241935483870967,2.029683562095875
2017Q3,0.1925,1.847773434884988
2017Q4,-0.1256923076923077,1.85592545077817
2018Q1,-0.07666666666666663,2.1662280691605504
2018Q2,-0.13064516129032258,2.4550969871448416
2018Q3,0.04249999999999998,2.080028998576855
2018Q4,0.3098461538461539,2.350357348034877
2019Q1,0.34137931034482755,2.9516284225538256
2019Q2,-0.018360655737704932,2.5900618913633884
2019Q3,0.11123076923076924,2.439829340658575
2019Q4,0.06742424242424241,2.648665446601109
2020Q1,-0.07881355932203392,2.3295219908856564
2020Q2,0.1880645161290323,2.341368409404278
2020Q3,0.058769230769230775,1.549442952011613
2020Q4,0.27409090909090916,1.9426991352419782
2021Q1,0.2874137931034483,1.9617567854911186
2021Q2,-0.22838709677419355,2.014523654022872
2021Q3,0.43640625,2.55176961142686
2021Q4,-0.01681818181818182,1.2582639555427872
2022Q1,-0.05844827586206897,0.9883617523043007
2022Q2,-0.48274193548387095,2.8306230382673636
2022Q3,0.15171874999999999,2.814685724759812
