,quarter,roa
0,2006Q4,5.04
1,2007Q1,3.18
2,2007Q2,1.93
3,2007Q3,1.16
4,2007Q4,2.13
5,2008Q1,0.84
6,2008Q2,1.43
7,2008Q3,1.45
8,2008Q4,1.97
9,2009Q1,0.74
10,2009Q2,0.96
11,2009Q3,2.7
12,2009Q4,1.35
13,2010Q1,0.84
14,2010Q2,1.54
15,2010Q3,0.69
16,2010Q4,0.12
17,2011Q1,95298572600.0
18,2011Q2,0.11
19,2011Q3,0.03
20,2011Q4,-0.84
21,2012Q1,-0.3
22,2012Q2,0.32
23,2012Q3,-0.9
24,2012Q4,1.85
25,2013Q1,0.26
26,2013Q2,-3.77
27,2013Q3,-0.39
28,2013Q4,13.83
29,2014Q1,0.03
30,2014Q2,-5.74
31,2014Q3,-0.65
32,2014Q4,9.2
33,2015Q1,-2.01
34,2015Q2,0.07
35,2015Q3,3.98
36,2015Q4,1.27
37,2016Q1,0.16
38,2016Q2,0.66
39,2016Q3,0.07
40,2016Q4,1.13
41,2017Q1,16.88
42,2017Q2,1.89
43,2017Q3,0.38
44,2017Q4,2.87
45,2018Q1,0.64
46,2018Q2,1.34
47,2018Q3,0.26
48,2018Q4,0.55
49,2019Q1,0.06
50,2019Q2,-0.23
51,2019Q3,0.71
52,2019Q4,-0.62
53,2020Q1,0.76
54,2020Q2,-0.18
55,2020Q3,0.51
56,2020Q4,0.61
57,2021Q1,0.51
58,2021Q2,0.88
59,2021Q3,1.12
60,2021Q4,0.81
61,2022Q1,0.87
62,2022Q2,0.36
