quarter,amihud,ln_amihud
2009Q3,0.008475390805519775,-4.770588514033087
2009Q4,0.012593059171396708,-4.3746094762164525
2010Q1,0.01898313757133969,-3.9642041901189358
2010Q2,0.009958081646050498,-4.6093708317547355
2010Q3,0.029619905892728973,-3.5193086473005035
2010Q4,0.0443580002131778,-3.115462198373271
2011Q1,0.19780422693288607,-1.6204774902903782
2011Q2,0.16254315117019913,-1.81681176680059
2011Q3,0.18435272745600492,-1.6909043594236066
2011Q4,0.12301540335727787,-2.0954457009034355
2012Q1,0.045219852285794844,-3.0962190787056527
2012Q2,0.026717071723036875,-3.6224525275229564
2012Q3,0.20560641677538233,-1.5817915358911532
2012Q4,0.2361234425765161,-1.4434005489407498
2013Q1,0.06217004747252059,-2.7778819471090865
2013Q2,0.4617801315418991,-0.772666406932948
2013Q3,0.8198791082236734,-0.19859837858808113
2013Q4,0.13943296974693892,-1.9701712968057405
2014Q1,0.034049115558313484,-3.379951221516522
2014Q2,0.6151292253922367,-0.48592291065927573
2014Q3,0.07539572059902518,-2.5850047615600067
2014Q4,0.6951340210005396,-0.3636506160358117
2015Q1,0.2505966974106983,-1.3839104153352684
2015Q2,0.059161899423420074,-2.8274775351062593
2015Q3,0.9186468481672871,-0.08485350886193263
2015Q4,1.353550552171512,0.3027311785964105
2016Q1,2.4930995233377535,0.9135267248588156
2016Q2,0.7971017155661477,-0.22677298529094983
2016Q3,1.816907312495429,0.5971357768280651
2016Q4,9.708927237504797,2.2730457960252664
2017Q1,3.4553124529405985,1.2399128881351495
2017Q2,0.5822213890433373,-0.5409045100367285
2017Q3,3.8545048740894994,1.3492425614356434
2017Q4,2.8488543393415338,1.046916927266496
2018Q1,13.145104809470283,2.576049431483666
2018Q2,13.588860649008266,2.6092503871950945
2018Q3,25.437606446098748,3.236228647807277
2018Q4,22.50569245528075,3.113768275224252
2019Q1,4.879148336810143,1.5849706834890063
2019Q2,7.200477426047455,1.9741473329969113
2019Q3,2.6275968502853764,0.9660696833314649
2019Q4,18.646257690114133,2.925645465907404
2020Q1,8.536392667960447,2.1443385143425973
2020Q2,0.5013355631653996,-0.6904796153470294
2020Q3,2.6435031321989633,0.9721049815608193
2020Q4,5.142200898485094,1.6374811781864893
2021Q1,0.05786758964567888,-2.8495978154530612
2021Q2,0.027767807106985603,-3.5838779470404987
2021Q3,0.026997762332664127,-3.612001292980256
2021Q4,0.003956928120726257,-5.532287281837024
2022Q1,0.017078206715401566,-4.069952089377358
2022Q2,0.026478963660148968,-3.631404685380513
2022Q3,0.04755162792217625,-3.045939254568864
