quarter,s,ln_s
2017Q2,1.1570727584557443,0.06573708654834044
2017Q3,0.8912985561105138,0.04407439973688724
2017Q4,0.6687216447610652,0.037645105372881536
2018Q1,0.6359849978318066,0.023132647352362257
2018Q2,0.6479558072854268,0.033623657858849215
2018Q3,0.388600793897753,0.025313005677388138
2018Q4,0.16016254684290865,0.01394665901023279
2019Q1,0.349726057425324,0.013636621652424264
2019Q2,0.3567536584312069,0.021338634439435508
2019Q3,0.47170038983360685,0.029524372421979375
2019Q4,0.0506551220690525,0.0013932820667803493
2020Q1,0.5420106020833466,0.06790901617811247
2020Q2,0.48288595031895787,0.061532473729993396
2020Q3,0.6059255283871294,0.04423206156928122
2020Q4,0.40690953044995615,0.020171792010846793
2021Q1,1.0872514166199931,0.0827228113616098
2021Q2,0.5448938484272061,0.0412656816414825
2021Q3,0.4646196937091213,0.03645746410095381
2021Q4,0.3215451025003539,0.01479394711268968
2022Q1,0.2929658569396079,0.014200405948322371
2022Q2,0.14818590488763406,0.012643944102640976
2022Q3,0.6312612237113178,0.08125842298822739
