quarter,s,ln_s
2009Q1,0.0,0.0
2009Q2,0.11732685126405888,0.008693929260764755
2009Q3,0.22353279303409168,0.018422070224086824
2009Q4,0.7672321064146886,0.07175697488695626
2010Q1,0.008166821714471438,0.0003483112884286702
2010Q2,0.5193820942212595,0.03965316020638035
2010Q3,0.924012332813939,0.08052752006545562
2010Q4,0.9469191517207379,0.07542936327016321
2011Q1,0.15646232118075473,0.014104324025355447
2011Q2,0.17011079912006893,0.012093094471067448
2011Q3,0.10344264162216762,0.011681003883838033
2011Q4,0.0,0.0
2012Q1,0.28776782459127953,0.028261484787941646
2012Q2,0.4710920113857348,0.03342745034901144
2012Q3,0.24462146421247075,0.015901559302635045
2012Q4,0.2619373545741612,0.02209970064016745
2013Q1,0.9535286319661831,0.055167119752965454
2013Q2,0.8370230146592835,0.03293657275478178
2013Q3,0.7039769666316331,0.048572772870656034
2013Q4,0.7068794774554809,0.03605131240307597
2014Q1,0.7674153831785903,0.03262261218181348
2014Q2,0.7824218474233648,0.06786972118363656
2014Q3,0.44110235372114853,0.023913130619361088
2014Q4,0.5744752998559528,0.030357883033455456
2015Q1,0.7737541673235088,0.05203206156710344
2015Q2,0.4024941794211132,0.021480653502090805
2015Q3,0.17497252880117298,0.012959481638481202
2015Q4,0.34094425362726866,0.02060706056549954
2016Q1,0.4962760844507401,0.03933739448323925
2016Q2,0.6290694935027092,0.05615885489300406
2016Q3,0.9172540449040538,0.06468760872958068
2016Q4,0.5080019886291642,0.03600256998659044
2017Q1,0.4711597394817483,0.03345284896026924
2017Q2,0.4932704496862844,0.026508220735044358
2017Q3,0.06885570334947032,0.0032325397845475706
2017Q4,0.14090253960812646,0.0068365030740836575
2018Q1,0.09991187217985845,0.0058793009007654376
2018Q2,0.12102252889706142,0.00822978500751288
2018Q3,0.05924368068505667,0.006150565306718915
2018Q4,0.014574635675056475,0.0007965185380227725
2019Q1,0.0,0.0
2019Q2,0.04771649617132171,0.003214886140725899
2019Q3,0.2403505597092357,0.013556048453331956
2019Q4,0.13453639539048798,0.009105500581234079
2020Q1,0.23206565261713274,0.02984196303923226
2020Q2,0.25265623975616036,0.02330265754856719
2020Q3,0.09510916346001246,0.009529901625881687
2020Q4,0.10952248158837097,0.0071384290720853585
2021Q1,0.27297699809222997,0.021164353839005032
2021Q2,0.22344552904993137,0.015942781808542594
2021Q3,0.3768968681155914,0.027764085477746763
2021Q4,0.602636526718465,0.04828942294614104
2022Q1,0.31161194579105733,0.030289988663392987
2022Q2,0.4175811657472026,0.05194980914900273
2022Q3,0.1835819673758014,0.020543520803399926
