,quarter,amihud,ln_amihud
0,2010Q1,3.4890932693634427,1.2496418942530199
1,2010Q2,0.4352229143436043,-0.8318969323825518
2,2010Q3,0.5564336185960804,-0.5862073991260984
3,2010Q4,1.1313423434228556,0.1234048422455545
4,2011Q1,2.9118581449625345,1.0687914151927027
5,2011Q2,7.14529036324707,1.9664534492190935
6,2011Q3,13.83587007764976,2.6272645008638613
7,2011Q4,30.39123781216687,3.414154337003034
8,2012Q1,9.099032564594522,2.2081680962883077
9,2012Q2,17.54844799275135,2.864965512539944
10,2012Q3,13.122951829193862,2.574362745191407
11,2012Q4,16.044278330224866,2.775352295689573
12,2013Q1,3.1901464393271732,1.160066821488312
13,2013Q2,2.626509056464988,0.9656556095174851
14,2013Q3,3.255472729817194,1.180337497010085
15,2013Q4,1.0470396903182342,0.045966839783290664
16,2014Q1,0.7145759930972873,-0.33606592883919806
17,2014Q2,1.1147068437082746,0.10859144990143406
18,2014Q3,0.3454314040186808,-1.062961196676828
19,2014Q4,0.7765565000077619,-0.2528858766350909
20,2015Q1,15.956350723405409,2.7698569144612413
21,2015Q2,8.483261247727238,2.1380949569713654
22,2015Q3,0.03069728754986025,-3.483580981717127
23,2015Q4,0.02655784513936526,-3.6284300894662733
24,2016Q1,0.026632971240564667,-3.6256053104436035
25,2016Q2,0.02420752822693065,-3.721091610438551
26,2016Q3,0.021323339047211336,-3.8479530762245973
27,2016Q4,0.0821062713877526,-2.499740878257762
28,2017Q1,0.2531081884933101,-1.3739382591558607
29,2017Q2,0.178646442109481,-1.7223466101351528
30,2017Q3,0.05543725030324929,-2.8925035230352347
31,2017Q4,0.06830684728138779,-2.683745264408608
32,2018Q1,0.1661415873747884,-1.7949149181760917
33,2018Q2,0.48261657524578433,-0.7285327806582872
34,2018Q3,0.05084396532051671,-2.9789938396261664
35,2018Q4,1.549262568407497,0.43777905540261086
36,2019Q1,0.6402571989289902,-0.4458853100313296
37,2019Q2,0.2778054136848975,-1.2808343611451622
38,2019Q3,7.843937076268577,2.059740886408576
39,2019Q4,18.110135802918943,2.896471770647932
40,2020Q1,2.1899902290895086,0.7838970822154924
41,2020Q2,18.313503465811223,2.9076386820438462
42,2020Q3,7.235171662387711,1.9789540864623354
43,2020Q4,2.340737253252349,0.8504659452393574
44,2021Q1,7.695097238599356,2.0405834038061093
45,2021Q2,4.210418806074635,1.4375621216241803
46,2021Q3,0.01784146465480921,-4.0262300557154305
47,2021Q4,0.0007195719440623915,-7.236854044888102
48,2022Q1,0.0017283797813248771,-6.3605708518892445
49,2022Q2,0.009374250411702952,-4.66978866640734
50,2022Q3,0.008611264922968771,-4.754684058096399
