quarter,change_perc_mean,change_perc_stdv
2019Q2,9.76,9.799352748305077
2019Q3,-0.27461538461538465,2.9627969666152647
2019Q4,0.021515151515151508,2.085199302353646
2020Q1,0.1328813559322034,3.023481123865427
2020Q2,-0.0920967741935484,1.8726094155664474
2020Q3,0.07200000000000001,2.4602738668692963
2020Q4,0.09787878787878788,1.1198180005306015
2021Q1,0.178448275862069,2.264129747788659
2021Q2,0.17225806451612902,2.223289115182278
2021Q3,0.3725396825396825,3.052414680456181
2021Q4,-0.0875757575757576,2.492116839220493
2022Q1,0.37344827586206897,2.5904795679592842
2022Q2,0.12066666666666666,2.4202142128659174
2022Q3,-0.02546875,1.6395594933826796
