,quarter,roa
0,2013Q1,3.98
1,2013Q2,3.29
2,2013Q3,2.44
3,2013Q4,3.3
4,2014Q1,3.7
5,2014Q2,3.59
6,2014Q3,2.28
7,2014Q4,4.22
8,2015Q1,3.36
9,2015Q2,3.49
10,2015Q3,2.08
11,2015Q4,1.44
12,2016Q1,3.03
13,2016Q2,2.28
14,2016Q3,0.99
15,2016Q4,0.65
16,2017Q1,3.07
17,2017Q2,2.33
18,2017Q3,1.02
19,2017Q4,2.73
20,2018Q1,3.38
21,2018Q2,2.01
22,2018Q3,1.85
23,2018Q4,-0.35
24,2019Q1,1.27
25,2019Q2,0.42
26,2019Q3,0.66
27,2019Q4,-0.4
28,2020Q1,1.3
29,2020Q2,0.73
30,2020Q3,0.76
31,2020Q4,1.06
32,2021Q1,1.4
33,2021Q2,1.4
34,2021Q3,0.84
35,2021Q4,1.14
36,2022Q1,2.76
37,2022Q2,1.57
