,timestamp,delta_volume,date,note
0,1243184400,158520,2009-05-25,"Niêm yết cổ phiếu bổ sung - 158,520 CP"
1,1243184400,158520,2009-05-25,"Giao dịch bổ sung - 158,520 CP"
2,1261414800,2039630,2009-12-22,"Niêm yết cổ phiếu bổ sung - 2,039,630 CP"
3,1283965200,2039579,2010-09-09,"Niêm yết cổ phiếu bổ sung - 2,039,579 CP"
4,1283965200,2039579,2010-09-09,"Giao dịch bổ sung - 2,039,579 CP"
5,1297616400,102095,2011-02-14,"Niêm yết cổ phiếu bổ sung - 102,095 CP"
6,1297616400,102095,2011-02-14,"Giao dịch bổ sung - 102,095 CP"
7,1380128400,12336609,2013-09-26,"Niêm yết cổ phiếu bổ sung - 12,336,609 CP"
8,1380128400,12336609,2013-09-26,"Giao dịch bổ sung - 12,336,609 CP"
9,1469120400,9869083,2016-07-22,"Niêm yết cổ phiếu bổ sung - 9,869,083 CP"
10,1469984400,9869083,2016-08-01,"Giao dịch bổ sung - 9,869,083 CP"
11,1497805200,6908157,2017-06-19,"Niêm yết cổ phiếu bổ sung - 6,908,157 CP"
12,1498669200,6908157,2017-06-29,"Giao dịch bổ sung - 6,908,157 CP"
