,Quý,Doanh thu thuần(MilVND),LN gộp(MilVND),LN thuần từ HĐKD(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ(MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q1,1423660.0,389950.0,32131.0,285714.0,277962.0,12286313.0,28114654.0,18982370.0,3037899.0,7893035.0,1239249.0,485.0,13774.0,0.0,20.07,8.06,2.26
1,2009Q2,,,,,,12951719.0,29412554.0,20030861.0,1746134.0,8091838.0,1289855.0,485.0,14121.0,109.26,0.0,0.0,0.0
2,2009Q3,,,,,,12608541.0,30697369.0,21035221.0,1997783.0,8315247.0,1346902.0,485.0,14511.0,78.75,0.0,0.0,0.0
3,2009Q4,843810.0,-510295.0,-833915.0,251491.0,250014.0,13673104.0,33714617.0,23826885.0,2500811.0,8538815.0,1348917.0,921.0,14901.0,33.21,29.8,6.18,1.57
4,2010Q1,1433718.0,198404.0,-205907.0,245561.0,232868.0,14813154.0,35954752.0,23940883.0,3255912.0,10652289.0,1361579.0,827.0,16997.0,51.51,17.13,5.43,1.49
5,2010Q2,1696368.0,341404.0,-143923.0,317401.0,300816.0,16560215.0,38977226.0,27319547.0,5691244.0,10302430.0,1355249.0,1321.0,16439.0,34.83,18.71,8.29,2.25
6,2010Q3,1569403.0,237896.0,-162122.0,190056.0,215002.0,18816121.0,42604783.0,30750366.0,7307930.0,10524258.0,1330159.0,1645.0,16793.0,33.73,12.11,9.98,2.64
7,2010Q4,1743045.0,197540.0,-379698.0,221282.0,203911.0,24168417.0,44767937.0,32752631.0,6221002.0,10667777.0,1347530.0,1187.0,17022.0,54.33,12.7,9.04,2.35
8,2011Q1,1758104.0,350937.0,-120695.0,255386.0,271264.0,17143045.0,42917938.0,30002576.0,5290423.0,11583711.0,1331652.0,1228.0,17023.0,60.64,14.53,9.2,2.34
9,2011Q2,2009386.0,364104.0,-243174.0,250938.0,250581.0,15304432.0,43329977.0,30437054.0,2858023.0,11605565.0,1287358.0,1123.0,17055.0,69.9,12.49,8.48,2.17
10,2011Q3,1930896.0,341587.0,-213059.0,472726.0,443875.0,19333594.0,45264057.0,32713049.0,4708760.0,11229788.0,1321220.0,1753.0,16503.0,38.21,24.48,10.38,2.65
11,2011Q4,2191999.0,631933.0,60848.0,476076.0,485695.0,17101464.0,43759873.0,30746116.0,4036045.0,11697155.0,1316602.0,1494.0,17190.0,27.44,21.72,12.59,3.31
12,2012Q1,3176056.0,1218438.0,477837.0,288757.0,270624.0,7589534.0,42598852.0,29853961.0,26826160.0,11404929.0,1339962.0,1480.0,16760.0,50.69,9.09,12.63,3.32
13,2012Q2,2174788.0,411370.0,-138490.0,301373.0,261598.0,20225143.0,47135473.0,34307535.0,6241755.0,11498222.0,1329717.0,1496.0,16897.0,29.35,13.86,12.76,3.27
14,2012Q3,2076942.0,376059.0,-148597.0,279079.0,273387.0,18859832.0,45535345.0,32429955.0,4392284.0,11770044.0,1335347.0,1898.0,17297.0,17.07,13.44,11.14,2.89
15,2012Q4,2188116.0,391008.0,-263364.0,304169.0,296165.0,17602636.0,46116913.0,32005903.0,3838475.0,12047659.0,2063351.0,1619.0,17705.0,23.72,13.9,9.43,2.43
16,2013Q1,3200642.0,1033393.0,244881.0,129761.0,178533.0,17135967.0,49290410.0,34858494.0,34858494.0,12406238.0,2025678.0,1484.0,18232.0,33.43,4.05,8.46,2.15
17,2013Q2,2194994.0,489904.0,-107071.0,124899.0,181240.0,18476896.0,48803168.0,34263194.0,6482644.0,12522944.0,2017030.0,1366.0,18403.0,30.83,5.69,7.63,1.96
18,2013Q3,2131065.0,446089.0,-122921.0,315086.0,280513.0,19750002.0,51632620.0,37692471.0,7829220.0,11835131.0,2105018.0,1376.0,17393.0,27.18,14.79,7.67,1.91
19,2013Q4,2040435.0,304753.0,-490994.0,351945.0,305474.0,24378059.0,55793513.0,41547653.0,5832691.0,12119525.0,2126335.0,1390.0,17810.0,27.2,17.25,7.74,1.84
20,2014Q1,2022284.0,432956.0,-184470.0,444390.0,402632.0,26950099.0,60780835.0,46136144.0,6901761.0,12527578.0,2117113.0,1719.0,18410.0,26.23,21.97,9.55,2.16
21,2014Q2,3174939.0,489104.0,-163403.0,228808.0,222655.0,28759668.0,63892761.0,50194382.0,8944273.0,11649889.0,2048490.0,1780.0,17120.0,23.03,7.21,10.07,2.09
22,2014Q3,3302027.0,345330.0,-337729.0,327339.0,315564.0,21140097.0,48419674.0,35887432.0,8105368.0,11973586.0,558656.0,1832.0,17596.0,21.95,9.91,10.33,2.18
23,2014Q4,3533803.0,352754.0,-561383.0,355864.0,338828.0,20388337.0,47529182.0,34701490.0,6069296.0,12254373.0,573319.0,1881.0,18009.0,17.02,10.07,10.57,2.32
24,2015Q1,3393190.0,395569.0,0.0,370671.0,354388.0,23829474.0,49534425.0,36381821.0,6170807.0,12564189.0,588415.0,1810.0,18464.0,18.9,10.92,10.17,2.35
25,2015Q2,3820493.0,271393.0,0.0,360720.0,348632.0,24503348.0,50791920.0,38033263.0,37957838.0,12758657.0,0.0,1995.0,18750.0,20.55,9.44,10.96,2.77
26,2015Q3,3905194.0,95493.0,0.0,228351.0,217782.0,25070493.0,53533833.0,40547191.0,40461651.0,12986642.0,0.0,1851.0,19085.0,25.12,5.85,9.96,2.5
27,2015Q4,4203231.0,-192225.0,0.0,211517.0,203388.0,22705631.0,58596329.0,45401272.0,10867214.0,13195057.0,0.0,1652.0,19391.0,32.08,5.03,8.73,2.12
28,2016Q1,4027888.0,179857.0,-330495.0,392601.0,383403.0,23787155.0,62677304.0,49140948.0,49057749.0,13536357.0,0.0,1695.0,19893.0,29.5,9.75,8.79,2.04
29,2016Q2,4679370.0,321775.0,-353550.0,396522.0,382408.0,24450278.0,64364240.0,51049276.0,50958262.0,13314965.0,0.0,1744.0,19567.0,33.82,8.47,8.95,1.99
30,2016Q3,4882744.0,320421.0,-457799.0,325431.0,316798.0,25672147.0,67424441.0,53783925.0,53685012.0,13640515.0,0.0,1890.0,20046.0,37.52,6.66,9.58,2.03
31,2016Q4,5387949.0,552499.0,-493452.0,275467.0,263999.0,29515088.0,73078645.0,59164152.0,59056051.0,13914493.0,0.0,1979.0,20448.0,29.41,5.11,9.9,2.01
32,2017Q1,5070056.0,409537.0,-500935.0,393637.0,380485.0,30561636.0,75107586.0,61038749.0,60923530.0,14068837.0,0.0,1975.0,20675.0,29.98,7.76,9.78,1.92
33,2017Q2,5863202.0,823375.0,-212918.0,709345.0,697153.0,37007108.0,82887133.0,68234089.0,68110157.0,14653044.0,0.0,2437.0,21534.0,23.59,12.1,11.79,2.22
34,2017Q3,5977590.0,263930.0,-809914.0,192215.0,179014.0,40745187.0,85786019.0,71622829.0,71490468.0,14163190.0,0.0,2235.0,20814.0,24.61,3.22,10.71,1.92
35,2017Q4,6929818.0,549113.0,2772.0,312374.0,303200.0,44422678.0,91368136.0,76896871.0,76755890.0,14471264.0,0.0,2292.0,21267.0,28.49,4.51,10.88,1.86
36,2018Q1,6438998.0,-837976.0,-1139439.0,504888.0,485412.0,55324183.0,99635662.0,84666195.0,84512090.0,14969467.0,0.0,2447.0,21999.0,38.63,7.84,11.43,1.85
37,2018Q2,7236012.0,-477810.0,-882427.0,325572.0,319729.0,54983811.0,100568498.0,84635723.0,84178831.0,15932775.0,0.0,1885.0,22732.0,43.13,4.5,8.29,1.31
