,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2020Q3,,0,,,,
1,2020Q4,114787.0,11479,9999738.653192786,,,0.7670530632462049
2,2021Q1,177364.0,11824,15000338.294993235,5000599.641800448,33.33657910548279,0.6769832035838043
3,2021Q3,240983.0,12049,20000248.983318117,4999910.688324882,24.999242221910468,0.6830980720442562
4,2021Q4,242489.0,12124,20000742.32926427,493.3459461517632,0.002466638177873626,0.7263925269316519
5,2022Q1,250824.0,12541,20000318.953831434,-423.3754328340292,-0.002116843405404411,0.7228068965379519
6,2022Q2,256816.0,12841,19999688.497780547,-630.4560508877039,-0.0031523293523180044,0.7407399548132848
