quarter,s,ln_s
2010Q2,0.14951737407050503,0.006146561495496492
2010Q3,0.14876970170236586,0.006903433826795291
2010Q4,0.13058637686412772,0.009067200602150818
2011Q1,0.0775106676480351,0.0073728919851428175
2011Q2,0.07284351402299613,0.01048468262519887
2011Q3,0.041775420754887174,0.008977538180117912
2011Q4,0.038207196493869736,0.012280510491330568
2012Q1,0.032125843599590746,0.01517551610309087
2012Q2,0.02591571046931264,0.006358372798112406
2012Q3,0.056330857075244226,0.012880794290827599
2012Q4,0.07825976759073754,0.015622358690621818
2013Q1,0.0751420579719773,0.01556048056162355
2013Q2,0.0009995864941914187,0.00023275797678818112
2013Q3,0.0,0.0
2013Q4,0.0,0.0
2014Q1,0.08351571647262944,0.011069307213888354
2014Q2,0.0858601740358146,0.012615374910221728
2014Q3,0.09435727787231235,0.014774583779277895
2014Q4,0.0952255110600302,0.016543435393672756
2015Q1,0.09606344087427159,0.020766321676966217
2015Q2,0.07302802985291451,0.01924278892389555
2015Q3,0.09391524508188831,0.029185821342019826
2015Q4,0.06473151698916982,0.023123088220313844
2016Q1,0.07056124202319881,0.029392020373395476
2016Q2,0.044841479818489474,0.019144992598497914
2016Q3,0.06898273704520452,0.03595538274159168
2016Q4,0.0173545894175353,0.00930915477186014
2017Q1,0.022541910046063287,0.011421241511321829
2017Q2,0.02741596158863094,0.009119717667165333
2017Q3,0.05395519955688522,0.014210966482645453
2017Q4,0.04477038346100766,0.014581438433709145
2018Q1,0.05309187187131446,0.012543286881544685
2018Q2,0.09335355068307268,0.02072356212621457
2018Q3,0.07112563682247916,0.012217899427912626
2018Q4,0.09356511224743408,0.01449075350225865
2019Q1,0.12333645025296117,0.01623967148334585
2019Q2,0.09855733417052685,0.01140163726264029
2019Q3,0.025044411792662598,0.0028433477720199453
2019Q4,0.05946328688313293,0.008442037749583386
2020Q1,0.02055767407985926,0.003453310524493856
2020Q2,0.0464819604279576,0.009129145869331971
2020Q3,0.06468432311213908,0.014337953893897451
2020Q4,0.08540358520014009,0.016927278051418703
2021Q1,0.10569140156796589,0.01355918387894258
2021Q2,0.17585711368916063,0.019310830508107654
2021Q3,0.12117228724697836,0.013345029051082136
2021Q4,0.10598447533925173,0.009664100014166621
2022Q1,0.10945653511152204,0.007125973211551203
2022Q2,0.157384133515554,0.009944777417872586
2022Q3,0.14239890417699577,0.010978135213340507
