,Quý,DT từ KD chứng khoán (MilVND),Lợi nhuận gộp(MilVND),LNT từ KD chứng khoán(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Các khoản cho vay(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của cổ đông thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q2,269132.0,52484.0,44249.0,30863.0,30863.0,5600475.0,,8850054.0,7924385.0,5923747.0,925669.0,0.0,441.0,13224.0,0.0,11.47,13.98,1.46
1,2009Q3,290981.0,231626.0,223626.0,224520.0,224520.0,5051620.0,,9029476.0,7605851.0,5605851.0,1423626.0,0.0,2128.0,11864.0,0.0,77.16,9.09,1.43
2,2009Q4,289371.0,-12459.0,-21423.0,-48330.0,-48330.0,6075097.0,,10532617.0,9156427.0,7156314.0,1376190.0,0.0,1725.0,11468.0,13.91,-16.7,9.4,1.23
3,2010Q1,395294.0,108653.0,102837.0,77128.0,77128.0,7058423.0,,11435445.0,10003383.0,8003323.0,1432062.0,0.0,2368.0,11934.0,8.57,19.51,22.04,2.85
4,2010Q2,404097.0,30405.0,21690.0,21690.0,21690.0,7473724.0,,12056161.0,9810461.0,7810402.0,2245700.0,0.0,2292.0,10593.0,6.68,5.37,16.98,2.56
5,2010Q3,409134.0,88599.0,79179.0,60697.0,60697.0,7101917.0,,11877815.0,9584523.0,7584463.0,2293293.0,0.0,879.0,10817.0,12.05,14.84,6.05,0.97
6,2010Q4,453398.0,95717.0,86848.0,62273.0,62273.0,9656554.0,,14175904.0,11817397.0,9817196.0,2358507.0,0.0,1484.0,11125.0,8.96,13.73,10.65,1.79
7,2011Q1,416635.0,12731.0,6501.0,4876.0,4876.0,8163833.0,,12686486.0,10347792.0,8347591.0,2338693.0,0.0,877.0,11032.0,13.11,1.17,6.48,1.18
8,2011Q2,416735.0,72916.0,65774.0,49319.0,49319.0,4141716.0,,8061902.0,5684713.0,3684512.0,2377189.0,0.0,917.0,11213.0,10.25,11.83,7.56,1.51
9,2011Q3,269984.0,58404.0,51014.0,51014.0,51014.0,2773095.0,,6704169.0,4288990.0,2288789.0,2415180.0,0.0,792.0,11392.0,10.73,18.9,7.06,1.61
10,2011Q4,224529.0,36730.0,28346.0,14666.0,14666.0,2283522.0,,6065019.0,3783013.0,1782741.0,2282006.0,0.0,567.0,10764.0,7.75,6.53,5.09,1.43
11,2012Q1,209148.0,60292.0,53568.0,38130.0,38130.0,3402824.0,,7406251.0,5086244.0,3085972.0,2320008.0,0.0,725.0,10943.0,12.28,18.23,6.52,2.17
12,2012Q2,273730.0,22555.0,13188.0,9878.0,9878.0,5867908.0,,9049935.0,6720049.0,4719777.0,2329886.0,0.0,538.0,10990.0,13.19,3.61,4.87,1.56
13,2012Q3,223611.0,16930.0,7431.0,5691.0,5691.0,4883937.0,,6422006.0,4166834.0,2166562.0,2255172.0,0.0,324.0,10638.0,16.06,2.55,2.98,0.94
14,2012Q4,170464.0,13903.0,2603.0,2132.0,2132.0,4445549.0,,5921806.0,3664410.0,1664043.0,2257397.0,,264.0,10648.0,20.81,1.25,2.44,0.78
15,2013Q1,124632.0,23384.0,15244.0,11434.0,11434.0,3942809.0,,5423614.0,3150818.0,3150451.0,2272797.0,,138.0,10721.0,37.69,9.17,1.28,0.43
