,Quý,Thu nhập lãi thuần(MilVND),Chi phí hoạt động(MilVND),Tổng TNTT(MilVND),Tổng LNST(MilVND),LNST của CĐ Ngân hàng mẹ(MilVND),Tổng tài sản(MilVND)," - Tiền, vàng gửi và cho vay các TCTD(MilVND)", - Cho vay khách hàng(MilVND),Nợ phải trả(MilVND), - Tiền gửi và vay các TCTD(MilVND), - Tiền gửi của khách hàng(MilVND),Vốn và các quỹ(MilVND), - Vốn của TCTD(MilVND), - Lợi nhuận chưa phân phối(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROEA(%),ROAA(%)
0,2015Q2,345435.0,230195.0,80284.0,79284.0,79284.0,73441492.0,9795034.0,35210010.0,67664262.0,17709960.0,45894641.0,5777230.0,5465881.0,172689.0,145.0,10570.0,0.0,2.74,0.22
1,2016Q3,685359.0,298517.0,54447.0,51319.0,51319.0,94463183.0,11008196.0,54721714.0,88629071.0,13650941.0,70213013.0,5834111.0,5465881.0,238832.0,94.0,10674.0,0.0,1.76,0.11
2,2017Q1,361361.0,285095.0,53237.0,53037.0,53037.0,105556625.0,13660806.0,57997725.0,99670504.0,20678165.0,71546389.0,5886121.0,5465881.0,293357.0,191.0,10769.0,0.0,0.9,0.05
3,2017Q2,532698.0,305288.0,76804.0,51071.0,51071.0,107573925.0,9282485.0,63302979.0,101655572.0,19857748.0,76411910.0,5918355.0,5465881.0,334347.0,284.0,10828.0,0.0,0.87,0.05
4,2017Q3,495656.0,316618.0,111099.0,103354.0,103354.0,111790625.0,9918769.0,64951324.0,105768596.0,26143902.0,74415504.0,6022029.0,5465881.0,460733.0,380.0,11018.0,0.0,1.73,0.09
5,2017Q4,581532.0,365356.0,141018.0,76166.0,76166.0,125072631.0,17229944.0,69921052.0,118937063.0,32601506.0,80151989.0,6135568.0,5465881.0,525771.0,519.0,11225.0,0.0,1.25,0.06
6,2018Q1,528878.0,383111.0,112129.0,111929.0,111929.0,121181368.0,10024393.0,72413370.0,114911750.0,25712783.0,82931355.0,6269618.0,5465881.0,601295.0,627.0,11471.0,0.0,1.8,0.09
7,2018Q2,693450.0,416111.0,147761.0,145761.0,145761.0,129483565.0,16755633.0,75222303.0,123144800.0,24361949.0,88633966.0,6338765.0,5465826.0,737955.0,800.0,11597.0,0.0,2.31,0.12
8,2018Q3,404232.0,382740.0,150142.0,144366.0,144366.0,126371668.0,14790803.0,76770290.0,119866168.0,16311298.0,91988956.0,6505503.0,5465826.0,873048.0,875.0,11902.0,0.0,2.25,0.11
9,2018Q4,532667.0,450894.0,212405.0,91290.0,91290.0,140487187.0,19139676.0,83008343.0,132185683.0,29248786.0,84344557.0,8301505.0,7688000.0,418710.0,642.0,10798.0,0.0,1.23,0.07
