,timestamp,delta_volume,date,note
0,1609261200,1208744208,2020-12-30,"Niêm yết cổ phiếu lần đầu - 1,208,744,208 CP"
1,1616518800,1208744208,2021-03-24,"Giao dịch lần đầu - 1,208,744,208 CP"
2,1631034000,133744161,2021-09-08,"Niêm yết cổ phiếu bổ sung - 133,744,161 CP"
3,1631811600,110244161,2021-09-17,"Giao dịch bổ sung - 110,244,161 CP"
4,1640710800,136000000,2021-12-29,"Niêm yết cổ phiếu bổ sung - 136,000,000 CP"
5,1641402000,133046199,2022-01-06,"Giao dịch bổ sung - 133,046,199 CP"
6,1650906000,181311631,2022-04-26,"Niêm yết cổ phiếu bổ sung - 181,311,631 CP"
7,1651770000,180832130,2022-05-06,"Giao dịch bổ sung - 180,832,130 CP"
8,1658422800,321098268,2022-07-22,"Niêm yết cổ phiếu bổ sung - 321,098,268 CP"
9,1658941200,321098268,2022-07-28,"Giao dịch bổ sung - 321,098,268 CP"
10,1661360400,8224998,2022-08-25,"Giao dịch bổ sung - 8,224,998 CP"
11,1669568400,2953801,2022-11-28,"Giao dịch bổ sung - 2,953,801 CP"
12,1679245200,479501,2023-03-20,"Giao dịch bổ sung - 479,501 CP"
13,1692896400,8225001,2023-08-25,"Giao dịch bổ sung - 8,225,001 CP"
14,1724605200,7050001,2024-08-26,"Giao dịch bổ sung - 7,050,001 CP"
