Attributes,adjust,close,change_perc2,avg,volume_match,value_match,volume_reconcile,value_reconcile,open,high,low,volume
Symbols,MCO,MCO,MCO,MCO,MCO,MCO,MCO,MCO,MCO,MCO,MCO,MCO
date,,,,,,,,,,,,
2013-01-02,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0
2013-01-03,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0
2013-01-04,4.2,4.2,5.0,4.2,100.0,420000.0,0.0,0.0,4.2,4.2,4.2,100.0
2013-01-07,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-08,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-09,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-10,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-11,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-14,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-15,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-16,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-17,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-18,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-21,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-22,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-23,4.2,4.2,0.0,4.2,0.0,0.0,0.0,0.0,4.2,4.2,4.2,0.0
2013-01-24,3.8,3.8,-9.5238,3.8,200.0,760000.0,0.0,0.0,3.8,3.8,3.8,200.0
2013-01-25,3.8,3.8,0.0,3.8,0.0,0.0,0.0,0.0,3.8,3.8,3.8,0.0
2013-01-28,3.5,3.5,-7.8947,3.5,1100.0,3850000.0,0.0,0.0,3.5,3.5,3.5,1100.0
2013-01-29,3.5,3.5,0.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0
2013-01-30,3.5,3.5,0.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0
2013-01-31,3.5,3.5,0.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0
2013-02-01,3.5,3.5,0.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0
2013-02-04,3.2,3.2,-8.5714,3.2,100.0,320000.0,0.0,0.0,3.2,3.2,3.2,100.0
2013-02-05,3.5,3.5,9.375,3.5,100.0,350000.0,0.0,0.0,3.5,3.5,3.5,100.0
2013-02-06,3.5,3.5,0.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0
