,quarter,roa
0,2009Q1,0.2
1,2009Q2,0.92
2,2010Q1,0.54
3,2010Q2,1.05
4,2010Q3,1.03
5,2014Q3,0.26
6,2015Q1,2.63
7,2016Q1,3.68
8,2016Q3,10.0
9,2016Q4,2.22
10,2017Q1,2.25
11,2017Q2,4.13
12,2017Q3,5.95
13,2017Q4,5.74
14,2018Q1,2.42
15,2018Q2,1.97
16,2018Q3,2.39
17,2018Q4,6.53
18,2019Q1,1.04
19,2019Q2,1.3
20,2019Q3,1.48
21,2019Q4,2.04
22,2020Q1,0.26
23,2020Q2,1.35
24,2020Q3,1.42
25,2020Q4,2.31
26,2021Q1,0.56
27,2021Q2,1.13
28,2021Q3,-0.21
29,2021Q4,0.71
30,2022Q1,0.29
31,2022Q2,0.07
