quarter,change_perc_mean,change_perc_stdv
2017Q2,1.6658333333333333,6.971654894621287
2017Q3,-0.326875,3.1471851242577396
2017Q4,0.026769230769230767,2.575884622132455
2018Q1,0.22035714285714286,2.6445483988322533
2018Q2,-0.21387096774193548,3.346643219038557
2018Q3,0.46421875,3.4042171813877493
2018Q4,-0.17276923076923079,3.0808980568234414
2019Q1,-0.15155172413793105,2.463440613283059
2019Q2,-0.01016393442622951,2.91409133453482
2019Q3,-0.33,3.1720754247022565
2019Q4,0.1568181818181818,2.1743788921054135
2020Q1,0.13118644067796612,3.238301004489089
2020Q2,-0.15870967741935485,2.6763245434498457
2020Q3,0.12907692307692306,3.7793057906995813
2020Q4,0.1453030303030303,2.8859853508327866
2021Q1,-0.1025862068965517,1.8271342342536991
2021Q2,0.02844827586206898,1.8080267442170186
2021Q3,-0.0662295081967213,1.3140651479720304
2021Q4,0.148030303030303,1.9868159449399432
2022Q1,-0.09482758620689655,1.7845341830443373
2022Q2,-0.15000000000000002,2.9052389083781214
2022Q3,0.008906250000000015,2.1926117768017757
