quarter,s,ln_s
2015Q3,0.07723478243009367,0.004476238144757986
2015Q4,0.09408640915922081,0.005891544791385998
2016Q1,0.05256456797179263,0.002789442654240371
2016Q2,0.18465955165513448,0.009655513598889399
2016Q3,0.1517118806460235,0.00662316191903328
2016Q4,0.23922609246586907,0.012887638756929647
2017Q1,0.05513704834780663,0.0028255795979438116
2017Q2,0.14701500326475958,0.0078783606360478
2017Q3,0.03338443068901542,0.0016833670720036679
2017Q4,0.0006081833576629791,2.6756501708529884e-05
2018Q1,0.06308866186426021,0.0038378865308805734
2018Q2,0.1178722780498628,0.008079470449099003
2018Q3,0.09999021081943385,0.007723026319793434
2018Q4,0.014508987406443647,0.0012212332883532915
2019Q1,0.028448677449138343,0.0026486434000704802
2019Q2,0.0067703301493795935,0.0006570369051189244
2019Q3,0.011589415202234684,0.0011068752063221976
2019Q4,1.8840148296669301e-16,6.7286243916676156e-18
2020Q1,0.015516834685343105,0.001699733354321836
2020Q2,0.028872307990239734,0.0027946395703653108
2020Q3,0.0786080917067751,0.005837969666550612
2020Q4,0.16204997457084971,0.012844075987328613
2021Q1,0.08384704392479074,0.005931809798086574
2021Q2,0.19740619221071867,0.01276130622466318
2021Q3,0.11520333272702217,0.007665154089800154
2021Q4,0.10885550839809127,0.006974166700877436
2022Q1,0.12119169782621704,0.0082219509560462
2022Q2,0.2866178813717941,0.022775416562386564
2022Q3,0.05632844222639452,0.0048919187623427205
