quarter,trend
2005Q1,0.0
2005Q2,72.0
2005Q3,0.0
2005Q4,100.0
2006Q1,0.0
2006Q2,0.0
2006Q3,13.0
2006Q4,9.0
2007Q1,21.0
2007Q2,28.0
2007Q3,45.0
2007Q4,9.0
2008Q1,10.0
2008Q2,5.0
2008Q3,9.0
2008Q4,4.0
2009Q1,11.0
2009Q2,7.0
2009Q3,20.0
2009Q4,8.0
2010Q1,5.0
2010Q2,6.0
2010Q3,5.0
2010Q4,0.0
2011Q1,7.0
2011Q2,2.0
2011Q3,4.0
2011Q4,5.0
2012Q1,4.0
2012Q2,4.0
2012Q3,3.0
2012Q4,3.0
2013Q1,4.0
2013Q2,3.0
2013Q3,4.0
2013Q4,2.0
2014Q1,4.0
2014Q2,3.0
2014Q3,4.0
2014Q4,3.0
2015Q1,3.0
2015Q2,4.0
2015Q3,4.0
2015Q4,4.0
2016Q1,3.0
2016Q2,4.0
2016Q3,4.0
2016Q4,6.0
2017Q1,12.0
2017Q2,12.0
2017Q3,13.0
2017Q4,22.0
2018Q1,18.0
2018Q2,18.0
2018Q3,13.0
2018Q4,12.0
2019Q1,14.0
2019Q2,14.0
2019Q3,12.0
2019Q4,11.0
2020Q1,11.0
2020Q2,25.0
2020Q3,19.0
2020Q4,25.0
2021Q1,24.0
2021Q2,20.0
2021Q3,19.0
2021Q4,24.0
2022Q1,26.0
2022Q2,21.0
2022Q3,18.0
