,quarter,roa
0,2010Q1,0.73
1,2010Q2,2.37
2,2010Q3,1.62
3,2010Q4,1.24
4,2011Q1,0.75
5,2011Q2,1.29
6,2011Q3,1.96
7,2011Q4,1.07
8,2012Q1,1.04
9,2012Q2,0.05
10,2012Q3,0.01
11,2012Q4,0.0
12,2013Q1,-0.41
13,2013Q2,-2.82
14,2013Q3,-2.9
15,2013Q4,-23.92
16,2014Q1,-0.49
17,2014Q2,-0.42
18,2014Q3,-0.04
19,2014Q4,-8.89
20,2015Q1,-0.37
21,2015Q2,0.41
22,2015Q3,0.02
23,2015Q4,0.12
24,2016Q1,0.39
25,2016Q2,-0.15
26,2016Q3,0.25
27,2016Q4,-20.09
28,2017Q1,0.33
29,2017Q2,-0.37
30,2017Q3,0.34
31,2017Q4,1.94
32,2018Q1,3.68
33,2018Q2,0.27
34,2018Q3,0.77
35,2018Q4,2.29
36,2019Q1,1.56
37,2019Q2,1.04
38,2019Q3,1.28
39,2019Q4,1.1
40,2020Q1,-1.02
41,2020Q2,0.92
42,2020Q3,0.47
43,2020Q4,-0.24
44,2021Q1,-1.74
45,2021Q2,0.45
46,2021Q3,-1.17
47,2021Q4,2.36
48,2022Q1,0.51
49,2022Q2,-0.63
