quarter,trend
2005Q1,15.384615384615385
2005Q2,33.17307692307692
2005Q3,100.0
2005Q4,32.21153846153846
2006Q1,40.38461538461539
2006Q2,23.076923076923077
2006Q3,26.923076923076923
2006Q4,41.82692307692308
2007Q1,71.15384615384616
2007Q2,30.76923076923077
2007Q3,45.19230769230769
2007Q4,49.03846153846154
2008Q1,36.05769230769231
2008Q2,45.19230769230769
2008Q3,54.80769230769231
2008Q4,56.73076923076923
2009Q1,70.1923076923077
2009Q2,72.11538461538461
2009Q3,71.63461538461539
2009Q4,77.88461538461539
2010Q1,64.90384615384616
2010Q2,65.38461538461539
2010Q3,62.5
2010Q4,66.82692307692308
2011Q1,62.5
2011Q2,76.92307692307692
2011Q3,68.26923076923077
2011Q4,69.71153846153847
2012Q1,80.28846153846153
2012Q2,89.90384615384616
2012Q3,77.88461538461539
2012Q4,68.75
2013Q1,68.75
2013Q2,65.86538461538461
2013Q3,75.0
2013Q4,64.90384615384616
2014Q1,62.01923076923077
2014Q2,63.46153846153846
2014Q3,61.05769230769231
2014Q4,62.01923076923077
2015Q1,55.28846153846154
2015Q2,59.61538461538461
2015Q3,60.57692307692308
2015Q4,74.03846153846153
2016Q1,59.61538461538461
2016Q2,54.32692307692308
2016Q3,48.55769230769231
2016Q4,50.96153846153846
2017Q1,46.63461538461539
2017Q2,44.71153846153846
2017Q3,44.23076923076923
2017Q4,43.26923076923077
2018Q1,41.34615384615385
2018Q2,39.42307692307692
2018Q3,41.34615384615385
2018Q4,42.30769230769231
2019Q1,44.23076923076923
2019Q2,46.15384615384615
2019Q3,50.0
2019Q4,48.55769230769231
2020Q1,45.19230769230769
2020Q2,48.55769230769231
2020Q3,55.28846153846154
2020Q4,46.63461538461539
2021Q1,41.82692307692308
2021Q2,42.78846153846154
2021Q3,39.42307692307692
2021Q4,48.55769230769231
2022Q1,46.15384615384615
2022Q2,51.44230769230769
2022Q3,44.23076923076923
