,Quý,DT từ KD chứng khoán (MilVND),Lợi nhuận gộp(MilVND),LNT từ KD chứng khoán(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Các khoản cho vay(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của cổ đông thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2007Q3,2412.0,123.0,-4695.0,-4695.0,-4695.0,202761.0,,216573.0,21268.0,21268.0,195305.0,0.0,-235.0,9765.0,0.0,-194.65,0.0,0.0
1,2007Q4,43552.0,33655.0,17100.0,13628.0,13628.0,556385.0,,595633.0,146700.0,146700.0,448933.0,0.0,203.0,10203.0,0.0,31.29,0.0,0.0
2,2008Q1,12302.0,2830.0,-8014.0,-7994.0,-7994.0,671371.0,,704283.0,267957.0,267957.0,436326.0,0.0,21.0,9916.0,0.0,-64.98,2.05,1.27
3,2008Q2,8561.0,-50963.0,-61298.0,-61356.0,-61356.0,553950.0,,586321.0,218142.0,218142.0,368179.0,0.0,-1373.0,8368.0,0.0,-716.66,-16.68,-11.49
4,2008Q3,18698.0,10557.0,2073.0,1876.0,1876.0,602279.0,,635090.0,271854.0,271854.0,363235.0,0.0,-1224.0,8255.0,0.0,10.03,-13.32,-8.54
5,2008Q4,38034.0,-155244.0,-167477.0,-167340.0,-167340.0,385761.0,,416439.0,222294.0,222294.0,194145.0,0.0,-5337.0,4412.0,0.0,-439.98,-68.97,-40.1
6,2009Q1,9194.0,-1562.0,-7117.0,-7136.0,-7136.0,495116.0,,523705.0,338816.0,338816.0,184889.0,0.0,-5317.0,4202.0,0.0,-77.62,-84.27,-43.29
7,2009Q2,43120.0,32004.0,25060.0,25264.0,25264.0,875879.0,,902822.0,692908.0,692908.0,209913.0,0.0,-3349.0,4771.0,0.0,58.59,-61.89,-23.78
8,2009Q3,78488.0,53704.0,47483.0,47693.0,47693.0,1492755.0,,1517065.0,1259459.0,1259459.0,257606.0,0.0,-2307.0,5855.0,0.0,60.76,-47.97,-12.09
9,2009Q4,85130.0,64982.0,54687.0,55013.0,55013.0,1219977.0,,1245162.0,944627.0,944627.0,300535.0,0.0,2746.0,6830.0,0.0,64.62,50.72,11.54
10,2010Q1,79779.0,61005.0,53758.0,53828.0,53828.0,1714522.0,,1740046.0,1375962.0,1375962.0,364084.0,0.0,4132.0,8275.0,0.0,67.47,64.23,13.45
11,2010Q2,132399.0,78715.0,70929.0,68284.0,68284.0,1867161.0,,1894044.0,1461868.0,1461868.0,432176.0,0.0,5110.0,9822.0,0.0,51.57,66.4,14.06
12,2010Q3,75267.0,47214.0,39008.0,29216.0,29216.0,1704237.0,,1729360.0,1268058.0,1268058.0,461302.0,0.0,4690.0,10484.0,0.0,38.82,52.97,12.49
13,2010Q4,80861.0,55101.0,46476.0,37246.0,37246.0,2559745.0,,2583200.0,2084651.0,2084651.0,498548.0,0.0,4286.0,11331.0,0.0,46.06,42.95,9.49
14,2011Q1,81970.0,40550.0,33157.0,24863.0,24863.0,2803761.0,,2827517.0,2311294.0,2311294.0,516223.0,0.0,3627.0,11732.0,0.0,30.33,33.46,7.07
15,2011Q2,104877.0,64835.0,56962.0,42825.0,42825.0,1457289.0,,1479092.0,452544.0,452544.0,1026548.0,0.0,2439.0,18665.0,0.0,40.83,21.44,6.23
16,2011Q3,85761.0,64265.0,57134.0,43197.0,43197.0,1445406.0,,1465132.0,395387.0,395387.0,1069745.0,0.0,2693.0,19450.0,0.0,50.37,19.05,7.09
17,2011Q4,102906.0,65665.0,57721.0,43450.0,43450.0,1370839.0,,1388457.0,275262.0,275262.0,1113195.0,0.0,2806.0,20240.0,0.0,42.22,16.57,8.62
18,2012Q1,61603.0,54419.0,47190.0,35362.0,35362.0,1742801.0,,1760255.0,630554.0,630554.0,1129701.0,,2997.0,20540.0,0.0,57.4,0.0,0.0
19,2012Q2,,,,,,1553135.0,,1568822.0,448204.0,448204.0,1120618.0,0.0,1664.0,15281.0,0.0,0.0,0.8,0.57
20,2012Q3,55766.0,47143.0,39634.0,29816.0,29816.0,1516868.0,,1531476.0,381042.0,381042.0,1150434.0,0.0,1481.0,15688.0,0.0,53.47,0.78,0.58
21,2012Q4,39480.0,29569.0,20450.0,15390.0,15390.0,1500351.0,,1521636.0,429144.0,429144.0,1092492.0,,1099.0,14898.0,0.0,38.98,0.82,0.59
22,2013Q1,46555.0,38542.0,30384.0,22978.0,22978.0,1613919.0,,1637733.0,534909.0,534909.0,1102824.0,,930.0,15039.0,0.0,49.36,6.11,4.36
23,2013Q2,46009.0,38109.0,30776.0,23588.0,23588.0,1653676.0,,1676544.0,550132.0,550132.0,1126412.0,,1251.0,15360.0,0.0,51.27,8.21,5.77
24,2013Q3,39747.0,31902.0,24444.0,18190.0,18190.0,1612246.0,,1643706.0,499103.0,499103.0,1144602.0,,1093.0,15608.0,0.0,45.76,7.18,4.95
25,2013Q4,48258.0,40116.0,31978.0,24049.0,24049.0,1736204.0,,1796475.0,627824.0,627824.0,1168651.0,,1211.0,15936.0,0.0,49.83,7.82,5.26
26,2014Q1,66654.0,56450.0,49033.0,38675.0,38675.0,2334724.0,,2397084.0,1198508.0,1198508.0,1198576.0,,1425.0,16344.0,0.0,58.02,9.01,5.56
27,2014Q2,56931.0,44201.0,35768.0,28014.0,28014.0,2070397.0,,2133487.0,943563.0,943563.0,1189924.0,,1485.0,16226.0,0.0,49.21,9.27,5.47
28,2014Q3,67621.0,55825.0,47325.0,37002.0,37002.0,2294265.0,,2356578.0,1129652.0,1129652.0,1226926.0,,1742.0,16731.0,0.0,54.72,10.68,5.88
29,2014Q4,64010.0,49878.0,40866.0,31880.0,31880.0,2102395.0,,2166360.0,907554.0,907554.0,1258806.0,,1849.0,17166.0,0.0,49.8,11.13,5.99
30,2015Q1,61864.0,49910.0,41177.0,33130.0,33130.0,1933441.0,,1999223.0,720845.0,720845.0,1278379.0,,1773.0,17433.0,0.0,53.55,10.5,6.01
31,2015Q2,63434.0,50994.0,41532.0,32320.0,32320.0,2335270.0,,2400653.0,1126621.0,1126621.0,1274032.0,,1665.0,15794.0,0.0,50.95,10.67,6.02
32,2015Q3,60101.0,45592.0,35628.0,27821.0,27821.0,2054202.0,,2118610.0,816757.0,816757.0,1301853.0,,1551.0,16139.0,0.0,46.29,9.79,5.76
33,2015Q4,74473.0,57276.0,46588.0,38494.0,38494.0,2032508.0,,2095924.0,755577.0,755577.0,1340347.0,,1633.0,16616.0,0.0,51.69,10.15,6.12
34,2016Q1,68572.0,55837.0,49052.0,39290.0,39290.0,1331430.0,1001298.0,1396715.0,30255.0,30255.0,1366460.0,,1710.0,16940.0,0.0,57.3,10.44,6.89
35,2016Q2,69001.0,54894.0,49108.0,40295.0,40295.0,1331166.0,1059446.0,1395789.0,29366.0,29366.0,1366423.0,,1615.0,15125.0,0.0,58.4,10.86,8.33
36,2016Q3,62177.0,47334.0,39074.0,31477.0,31477.0,1499798.0,,1564805.0,166906.0,166906.0,1397900.0,,1655.0,15473.0,0.0,50.63,10.93,9.27
37,2016Q4,79859.0,52889.0,43076.0,35511.0,35511.0,1297682.0,1099157.0,1493790.0,60379.0,60379.0,1433411.0,,1622.0,15866.0,0.0,44.47,10.54,10.02
38,2017Q1,64116.0,48179.0,42299.0,35840.0,35840.0,1280075.0,1112542.0,1485615.0,31021.0,31021.0,1454593.0,,1584.0,16101.0,8.55,55.9,10.13,9.64
39,2017Q2,75974.0,56797.0,50928.0,40993.0,40993.0,1314164.0,1210457.0,1517564.0,67150.0,67150.0,1450414.0,,1547.0,14595.0,7.95,53.96,10.03,9.49
40,2017Q3,73920.0,54861.0,50146.0,40289.0,40289.0,1321095.0,1184522.0,1522539.0,31837.0,31837.0,1490702.0,,1602.0,15000.0,7.21,54.5,10.47,10.14
41,2017Q4,102495.0,78192.0,73861.0,62097.0,62097.0,1594825.0,1399031.0,1796464.0,243666.0,243666.0,1552797.0,,1859.0,15625.0,6.67,60.59,12.05,11.34
42,2018Q1,114951.0,78825.0,78310.0,62906.0,62906.0,2077535.0,1763339.0,2276938.0,661237.0,661237.0,1615701.0,,2098.0,16258.0,7.34,54.72,13.51,11.6
43,2018Q2,111646.0,79318.0,73815.0,59357.0,59357.0,2023307.0,1816271.0,2221012.0,613550.0,613550.0,1607463.0,,2240.0,14705.0,6.25,53.17,14.34,11.5
44,2018Q3,93590.0,64905.0,60237.0,48367.0,48367.0,2473188.0,1916601.0,2672762.0,1016934.0,1016934.0,1655828.0,,2263.0,15148.0,7.43,51.68,14.47,10.38
45,2018Q4,375057.0,336323.0,329594.0,319350.0,319350.0,2294772.0,1560723.0,2501713.0,526536.0,526536.0,1975177.0,,4646.0,18069.0,3.81,85.15,28.59,20.26
46,2019Q1,142343.0,117984.0,112356.0,102946.0,102946.0,2174498.0,1731476.0,2378713.0,324381.0,324381.0,2054332.0,,4919.0,18793.0,3.48,72.32,29.07,21.69
47,2019Q2,139922.0,115329.0,113057.0,102165.0,102165.0,2304726.0,1738546.0,2509725.0,407885.0,407885.0,2101840.0,,5186.0,17480.0,2.45,73.02,29.42,22.77
48,2019Q3,66366.0,39535.0,31825.0,21034.0,21034.0,2251628.0,1850683.0,2453367.0,330495.0,330495.0,2122872.0,,4814.0,17655.0,2.6,31.69,26.43,22.17
49,2019Q4,38015.0,6223.0,-2299.0,-11849.0,-11849.0,2325137.0,1803294.0,2523654.0,412632.0,412632.0,2111021.0,,1845.0,17556.0,6.23,-31.17,10.22,8.69
50,2020Q1,-56516.0,-81725.0,-87543.0,-97232.0,-97232.0,1895757.0,1478330.0,2091224.0,77437.0,77437.0,2013787.0,,119.0,16748.0,84.93,172.04,0.68,0.59
51,2020Q2,169841.0,140906.0,133494.0,119572.0,119572.0,2347444.0,1759693.0,2540965.0,487002.0,487002.0,2053963.0,,260.0,17082.0,57.62,70.4,5.88,5.16
52,2020Q3,105512.0,71528.0,58186.0,47375.0,47375.0,2544522.0,1866413.0,2740061.0,638726.0,638726.0,2101335.0,,466.0,15887.0,28.87,44.9,2.28,1.79
53,2020Q4,184698.0,129569.0,114851.0,100834.0,100834.0,3202938.0,2478957.0,3395723.0,1193557.0,1193557.0,2202166.0,,1339.0,16649.0,12.13,54.59,4.69,3.29
54,2021Q1,235873.0,177181.0,165870.0,145656.0,145656.0,3776309.0,3221267.0,3969592.0,1621808.0,1621808.0,2347784.0,,3176.0,17751.0,5.4,61.75,6.4,3.96
55,2021Q2,353693.0,273348.0,263438.0,230190.0,230190.0,5977181.0,4679136.0,6167826.0,3602120.0,3602120.0,2565706.0,,3948.0,17635.0,9.35,65.08,9.37,4.54
