,Quý,Doanh thu thuần(MilVND),LN gộp(MilVND),LN thuần từ HĐKD(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ(MilVND),Tài sản ngắn hạn(MilVND),Tổng cộng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2011Q2,373915.0,170175.0,7241.0,26098.0,26098.0,1397610.0,1841207.0,1009745.0,136374.0,831462.0,0.0,368.0,11715.0,0.0,6.98,2.71,1.22
1,2011Q3,350407.0,110553.0,98.0,27700.0,27700.0,1478977.0,1946926.0,1116487.0,234220.0,830439.0,0.0,758.0,11701.0,11.61,7.91,2.71,1.16
2,2011Q4,422907.0,196993.0,5089.0,26205.0,26205.0,1521770.0,1993148.0,1149067.0,173107.0,844081.0,0.0,1129.0,12151.0,5.76,6.2,2.67,1.13
3,2012Q1,390928.0,126862.0,-13687.0,24704.0,24704.0,1580235.0,2068378.0,1200314.0,203826.0,868063.0,0.0,1488.0,12497.0,6.18,6.32,12.41,5.34
4,2012Q2,439630.0,162380.0,15216.0,28811.0,28811.0,1491919.0,1998816.0,1186612.0,146962.0,812204.0,0.0,1532.0,11692.0,5.42,6.55,12.81,5.37
5,2012Q3,394283.0,141494.0,5212.0,24420.0,24420.0,1448775.0,2054769.0,1226868.0,154733.0,827901.0,0.0,1492.0,11918.0,5.7,6.19,12.43,5.13
6,2012Q4,440657.0,192715.0,-1183.0,21428.0,21428.0,1432033.0,2074544.0,1225625.0,158960.0,848918.0,0.0,1430.0,12221.0,6.29,4.86,11.84,4.85
7,2013Q1,407387.0,48658.0,-116915.0,-76777.0,-76777.0,1562684.0,2212889.0,1441949.0,253814.0,770940.0,0.0,-30.0,11098.0,-262.38,-18.85,-0.26,-0.1
8,2013Q2,496951.0,215473.0,45205.0,60694.0,60694.0,1744981.0,2351940.0,1589278.0,360955.0,762662.0,0.0,428.0,10979.0,18.67,12.21,3.71,1.37
9,2013Q3,395343.0,132177.0,-7295.0,27326.0,27326.0,1819306.0,2484322.0,1694562.0,494134.0,789759.0,0.0,470.0,11388.0,17.0,6.91,4.12,1.43
10,2013Q4,452584.0,97452.0,34643.0,34903.0,34903.0,1807540.0,2402377.0,1577711.0,316056.0,824666.0,0.0,665.0,11891.0,14.89,7.71,5.86,1.95
11,2014Q1,440192.0,72237.0,1956.0,21345.0,21345.0,2329715.0,2949529.0,2105589.0,304353.0,843940.0,0.0,2079.0,12169.0,5.19,4.85,17.92,5.66
12,2014Q2,425908.0,74267.0,2506.0,21600.0,21600.0,2885656.0,3495697.0,2688070.0,389558.0,807627.0,0.0,1516.0,11645.0,6.0,5.07,12.88,3.71
13,2014Q3,405639.0,50645.0,326.0,19945.0,19945.0,2884450.0,3513081.0,2684820.0,2682217.0,828261.0,0.0,1410.0,11943.0,7.16,4.92,11.84,3.16
14,2014Q4,473653.0,75443.0,11235.0,25085.0,25085.0,3027438.0,3647255.0,2791446.0,406197.0,855809.0,0.0,1268.0,12300.0,8.36,5.3,10.55,2.59
15,2015Q1,459127.0,71789.0,558.0,24515.0,24515.0,3125330.0,3747930.0,2902618.0,2897503.0,845312.0,0.0,1313.0,12149.0,7.85,5.34,10.93,2.53
16,2015Q2,480442.0,82372.0,10336.0,29896.0,29896.0,3076945.0,3736555.0,2905938.0,2898556.0,830617.0,0.0,1431.0,11938.0,9.01,6.22,11.84,2.72
17,2015Q3,424669.0,66003.0,-8448.0,18613.0,18613.0,3122029.0,3690260.0,2841030.0,2833078.0,849230.0,0.0,1411.0,12206.0,10.28,4.38,11.61,2.65
18,2015Q4,531756.0,86109.0,12529.0,20081.0,20081.0,3102592.0,3713354.0,2913406.0,2904105.0,799948.0,0.0,1338.0,11497.0,12.48,3.78,11.2,2.5
19,2016Q1,477002.0,86823.0,4848.0,25147.0,25147.0,2821050.0,3741173.0,2916078.0,2906688.0,825095.0,0.0,1347.0,11859.0,11.88,5.27,11.35,2.52
20,2016Q2,523364.0,90682.0,0.0,39710.0,39710.0,2919410.0,3941077.0,3067684.0,3050897.0,873393.0,0.0,1484.0,12306.0,10.85,7.59,12.37,2.75
21,2016Q3,447472.0,75948.0,0.0,22029.0,22029.0,3399733.0,4174504.0,3279115.0,3266275.0,895390.0,0.0,1525.0,12616.0,14.82,4.92,12.61,2.75
22,2016Q4,619491.0,86716.0,0.0,19940.0,19940.0,3523450.0,4293072.0,3377742.0,3361679.0,915330.0,0.0,1515.0,12897.0,14.45,3.22,12.18,2.65
