,quarter,price,price_diff,price_diff_perc
1,2017Q3,13.1,0.5999999999999996,4.799999999999997
2,2017Q4,12.0,-1.0999999999999996,-8.396946564885495
3,2018Q1,13.2,1.1999999999999993,9.999999999999995
4,2018Q2,14.0,0.8000000000000007,6.060606060606066
5,2018Q3,12.8,-1.1999999999999993,-8.571428571428566
6,2018Q4,13.0,0.1999999999999993,1.5624999999999944
7,2019Q1,13.7,0.6999999999999993,5.384615384615379
8,2019Q2,12.8,-0.8999999999999986,-6.56934306569342
9,2019Q3,11.8,-1.0,-7.8125
10,2019Q4,11.0,-0.8000000000000007,-6.7796610169491585
11,2020Q1,9.0,-2.0,-18.181818181818183
12,2020Q2,9.8,0.8000000000000007,8.888888888888896
13,2020Q3,10.2,0.3999999999999986,4.0816326530612095
14,2020Q4,15.9,5.700000000000001,55.882352941176485
15,2021Q1,16.5,0.5999999999999996,3.773584905660375
16,2021Q2,18.8,2.3000000000000007,13.939393939393943
17,2021Q3,25.75,6.949999999999999,36.96808510638297
18,2021Q4,23.85,-1.8999999999999986,-7.378640776699023
19,2022Q1,26.4,2.549999999999997,10.691823899371057
20,2022Q2,24.05,-2.349999999999998,-8.901515151515143
