,quarter,price,price_diff,price_diff_perc
1,2010Q4,12.9,-4.6,-26.28571428571428
2,2011Q1,10.0,-2.9000000000000004,-22.480620155038764
3,2011Q2,8.2,-1.8000000000000007,-18.000000000000007
4,2011Q3,7.8,-0.39999999999999947,-4.8780487804877986
5,2011Q4,4.0,-3.8,-48.71794871794872
6,2012Q1,5.2,1.2000000000000002,30.000000000000004
7,2012Q2,4.7,-0.5,-9.615384615384615
8,2012Q3,2.4,-2.3000000000000003,-48.93617021276596
9,2012Q4,3.0,0.6000000000000001,25.000000000000004
10,2013Q1,3.4,0.3999999999999999,13.33333333333333
11,2013Q2,2.7,-0.6999999999999997,-20.588235294117638
12,2013Q3,1.9,-0.8000000000000003,-29.629629629629637
13,2013Q4,2.9,1.0,52.631578947368425
14,2014Q1,4.9,2.0000000000000004,68.96551724137933
15,2014Q2,3.0,-1.9000000000000004,-38.775510204081634
16,2014Q3,4.0,1.0,33.333333333333336
17,2014Q4,3.1,-0.8999999999999999,-22.499999999999996
18,2015Q1,2.5,-0.6000000000000001,-19.35483870967742
19,2015Q2,2.3,-0.20000000000000018,-8.000000000000007
20,2015Q3,1.7,-0.5999999999999999,-26.086956521739125
21,2015Q4,1.7,0.0,0.0
22,2016Q1,2.1,0.40000000000000013,23.52941176470589
23,2016Q2,2.3,0.19999999999999973,9.52380952380951
24,2016Q3,2.27,-0.029999999999999805,-1.304347826086948
25,2016Q4,2.6,0.33000000000000007,14.537444933920709
26,2017Q1,2.7,0.10000000000000009,3.8461538461538494
27,2017Q2,3.0,0.2999999999999998,11.111111111111104
28,2017Q3,4.79,1.79,59.666666666666664
29,2017Q4,4.25,-0.54,-11.273486430062631
30,2018Q1,3.59,-0.6600000000000001,-15.529411764705886
31,2018Q2,3.24,-0.34999999999999964,-9.749303621169908
32,2018Q3,2.8,-0.4400000000000004,-13.58024691358026
33,2018Q4,2.94,0.14000000000000012,5.000000000000004
34,2019Q1,2.8,-0.14000000000000012,-4.761904761904766
35,2019Q2,3.69,0.8900000000000001,31.785714285714292
36,2019Q3,3.95,0.26000000000000023,7.0460704607046125
37,2019Q4,4.59,0.6399999999999997,16.20253164556961
38,2020Q1,3.56,-1.0299999999999998,-22.440087145969496
39,2020Q2,3.29,-0.27,-7.584269662921348
40,2020Q3,6.19,2.9000000000000004,88.14589665653497
41,2020Q4,6.6,0.40999999999999925,6.623586429725352
42,2021Q1,6.1,-0.5,-7.575757575757576
43,2021Q2,5.28,-0.8199999999999994,-13.442622950819663
44,2021Q3,7.09,1.8099999999999996,34.280303030303024
45,2021Q4,16.8,9.71,136.9534555712271
46,2022Q1,13.05,-3.75,-22.32142857142857
47,2022Q2,4.21,-8.84,-67.73946360153256
