,code,quarter,illiq,ln_illiq,hsl,ln_hsl,roa,shares_est,ln_size,ret,lev,meanv,stdv,gsv,wui,wuivnm,vni,crisis
0,AAM,2009Q4,0.008721899625973575,-4.741918217771146,0.32801490337136463,0.008105290333761242,3.66,11340020.06018054,364014643932,-41.63636363636363,16.204264105529713,-0.2545454545454546,3.24845960267475,6.0,18.952,0.19022260000000002,494.77,0
1,AAM,2010Q1,0.008920975127483766,-4.719350019140492,0.2858076847990874,0.00885081475865278,3.26,11339804.42910555,378749467932,4.049844236760117,12.46839953360843,0.0924137931034483,2.2361560928042032,2.0,19.712,0.1030715,499.24,0
2,AAM,2010Q2,0.006549157316801242,-5.028418891535077,0.14947568950071866,0.004695319910596141,4.33,11340038.488072328,360613223921,-4.79041916167664,10.353973126646231,0.009677419354838705,1.7838014001618738,0.0,21.449,0.2137894,507.14,0
3,AAM,2010Q3,0.022632782373166974,-3.788355876246381,0.15948450022686558,0.0060074052491700895,2.33,11339760.17786201,273288220286,-24.213836477987414,12.42266267593308,-0.3471875,1.9913626735527223,5.0,19.653,0.30472319999999997,454.52,0
4,AAM,2010Q4,0.009561294899421651,-4.650032111361015,0.09222213536447907,0.0038271366714175436,2.78,11339729.560731595,268751590589,-1.6597510373444069,12.699964760162697,-0.01893939393939394,1.107779662607046,5.0,14.902000000000001,0.20410250000000002,484.66,0
5,AAM,2011Q1,0.03790375597459092,-3.272705069572108,0.14670162981591153,0.0069554557948294645,4.54,11339735.65467396,226794713093,-15.611814345991561,13.073249829889955,-0.08666666666666667,1.1956682729953232,3.0,13.398,0.0951022,461.13,0
6,AAM,2011Q2,0.8561940883554183,-0.1552581898087712,0.06929017446692537,0.003464775994250824,5.79,11339680.88518281,232463458146,2.5,15.44695271170784,0.01065573770491803,0.7800232236979849,2.0,14.120999999999999,0.2059944,432.54,0
7,AAM,2011Q3,1.9123083954623818,0.6483110963205169,0.08783133630532823,0.003970854168917668,4.92,11339845.799862755,272156299197,17.073170731707318,21.64288796384283,0.3747692307692307,1.429652610440194,3.0,20.227999999999998,0.0,427.6,0
8,AAM,2011Q4,0.3460253970218135,-1.061243104821044,0.08286634474950093,0.003621286806646506,3.54,11339763.14017507,252876718026,-7.083333333333331,12.875110656703953,-0.0213846153846154,1.630128327888518,3.0,19.437,0.0,351.55,0
9,AAM,2012Q1,0.4086688457601808,-0.8948501189655799,0.09574407877229904,0.004087983610867762,2.16,11339861.428170932,282362549561,11.659192825112095,12.238749493263978,0.19932203389830508,1.5719391323729577,3.0,18.63,0.0994431,441.03,0
10,AAM,2012Q2,0.6314004871518857,-0.4598149313161207,0.12658921149972618,0.004935393147997427,0.9,11339934.81041383,300508272476,6.425702811244986,9.828019468940427,0.1803225806451613,1.2430870717718632,4.0,36.828,0.10237510000000001,422.37,0
11,AAM,2012Q3,0.6760203878624954,-0.3915320438340589,0.07098100633936345,0.002859383521065368,0.49,11339823.769611005,284629576617,-5.283018867924524,9.517097062396347,-0.0665625,1.9431966943305408,3.0,25.945,0.09031789999999999,392.57,0
12,AAM,2012Q4,6.3279240635362735,1.8449722303200693,0.0982534484228892,0.004154992443992483,0.67,11339622.641509434,281222641509,-1.1952191235059788,10.49057155501077,0.06200000000000003,1.9188393301681097,3.0,38.751999999999995,0.0851716,413.73,0
13,AAM,2013Q1,5.7230275428428525,1.7444979560735798,0.17827061095551586,0.007998828183154021,0.42,11340008.84173298,272160212202,-3.2258064516129066,12.107111610248207,-0.03896551724137934,1.8743323392846647,3.0,31.599,0.0840619,491.04,0
14,AAM,2013Q2,15.826308205463262,2.7616736316254067,0.08193003180391867,0.003985074607506832,0.61,11339611.872146115,249471461187,-8.333333333333334,11.556439781122325,-0.08524590163934426,3.426268916551149,3.0,14.114,0.2769316,481.13,0
15,AAM,2013Q3,9.730669341080707,2.2752826853098647,0.21623849423628655,0.01203834587304156,0.67,11339850.157379085,204117302833,-18.181818181818183,12.118859190087306,-0.02353846153846156,2.756677365263089,4.0,15.802999999999999,0.09439310000000001,492.63,0
16,AAM,2013Q4,1.3128373635088828,0.2721907213187233,0.12798913865441952,0.00808077092653195,1.36,12635964.484339936,179430695678,-21.111111111111114,14.279851686921328,-0.3324242424242424,2.305697999175795,3.0,18.492,0.3694126,504.63,0
17,AAM,2014Q1,2.331251764204856,0.8464053611731791,0.09920269624066648,0.006403821438517085,0.64,12635939.776590578,200911442448,11.971830985915501,11.517480575712554,0.3408928571428572,2.187009811497062,4.0,19.537,0.3859265,591.57,0
18,AAM,2014Q2,23.362297469969306,3.1511235037219243,0.11398140843281865,0.008065161715100817,1.76,12635698.031067574,183217621450,-8.805031446540882,13.461043227597532,-0.09754098360655744,3.2937681843838096,3.0,20.086,0.2549395,578.13,0
19,AAM,2014Q3,1.2520855243702649,0.2248105805447632,0.04534694103563264,0.0030111816784968797,0.09,12636078.585076675,194595610210,6.20689655172414,9.347331686001738,0.1328125,2.8322146075700783,3.0,14.210999999999999,0.1751927,598.8,0
20,AAM,2014Q4,12.233223067452029,2.5041554527920127,0.11599427412310855,0.00790014626178488,0.09,12636100.196463656,181959842829,-6.493506493506493,13.408546986430746,-0.0722727272727273,2.437735894986636,3.0,17.252,0.1279263,545.63,0
21,AAM,2015Q1,1.2260014087084872,0.20375798654148936,0.03804143920031895,0.0028546909865602905,0.21,12636007.444411796,161740895288,-11.111111111111107,17.82988936433102,-0.053392857142857145,2.118025904885545,3.0,29.838,0.1030503,551.13,0
22,AAM,2015Q2,1.546307242037206,0.4358696639502256,0.05388657672282639,0.0044250464656765895,0.1,12636081.424936388,161741842239,0.0,16.641263859692003,0.01868852459016391,1.9465417843017876,3.0,25.361,0.1292992,593.05,0
23,AAM,2015Q3,2.3667140324372533,0.8615025088847702,0.09816810120038906,0.008491270568316242,0.26,12635939.323220534,131413768961,-18.75,19.06603273835455,-0.2667692307692308,3.2489787374709698,8.0,21.28,0.14677820000000003,562.64,0
24,AAM,2015Q4,5.758487194448251,1.7506748003591794,0.11621273376295445,0.010921242765265758,0.27,12635558.479680145,131409808189,0.0,22.454823791457304,0.14318181818181816,3.383157450616855,5.0,18.518,0.1392661,579.03,0
25,AAM,2016Q1,3.0659635460690713,1.1203618906428237,0.056273046818628575,0.00536778787297447,0.17,12636029.60202867,137732722662,4.807692307692308,15.01835958784484,0.14372881355932204,3.612866804336911,3.0,22.826,0.0,561.22,0
26,AAM,2016Q2,3.4711670756961035,1.2444908704651172,0.059323654892333,0.005608182260293693,0.25,12636025.806451613,137732681290,0.0,6.570370910661079,0.02887096774193547,2.435635107424829,3.0,18.512999999999998,0.0,632.26,0
27,AAM,2016Q3,5.277975821439735,1.6635426570626315,0.04993008330957574,0.0047702309214605184,0.3,12635886.619682085,135203986831,-1.8348623853211103,7.161944042565949,0.027692307692307704,3.3558492634273898,3.0,30.182,0.0,685.73,0
28,AAM,2016Q4,5.322839726523104,1.672006944123021,0.1415452192646141,0.01382805991905785,0.14,12636171.963385787,120296357091,-11.028037383177569,5.322190350000809,-0.11369230769230773,3.6539048330308432,5.0,32.031,0.16439260000000003,664.87,0
29,AAM,2017Q1,4.668833115113311,1.5409091721744377,0.13757253497585442,0.013580681148184715,0.19,9935669.131925797,101343825146,7.1428571428571415,4.748437369788573,0.2449152542372881,3.1131342300121982,5.0,29.91,0.0,722.31,0
30,AAM,2017Q2,6.207238427333621,1.8257160993461967,0.11693424585177845,0.012017731902603508,0.33,9935760.17130621,105319057816,3.921568627450984,5.098665429928592,0.09935483870967736,2.785435110942505,6.0,16.514,0.0,776.47,0
31,AAM,2017Q3,5.138753204515856,1.6368104828280745,0.08716665340106712,0.008737041213231458,-1.68,9935915.168280313,101346334716,-3.7735849056603814,5.28736089299682,-0.03031250000000002,2.437938218646344,8.0,16.326,0.0,804.42,0
32,AAM,2017Q4,7.722827656300577,2.044180573696614,0.05428761709978259,0.005477208616425941,1.57,9935741.978058236,102834929473,1.4705882352941213,4.192981323105816,0.057846153846153874,2.6803617364940755,8.0,28.397,0.1331469,984.24,0
33,AAM,2018Q1,11.422023777894244,2.435543402003264,0.09468875017269668,0.00929815184431116,1.08,9935853.140740125,109294384548,6.280193236714978,5.824399959659264,0.2291228070175439,2.8569615982604377,7.0,13.622,0.0,1174.46,0
34,AAM,2018Q2,1.4292369764191708,0.3571407189421319,0.04667475897119565,0.0045298943246953344,1.45,9935598.917766664,107304468312,-1.818181818181812,6.530558701251972,-0.019193548387096773,1.4462617707268248,7.0,25.653000000000002,0.0,960.78,0
35,AAM,2018Q3,4.30424332724562,1.4596013564021433,0.04238884714563397,0.0039442204880022385,0.94,9935606.82859576,133137131503,24.07407407407407,7.10808656364224,0.368125,2.5230026675208763,6.0,28.711,0.0,1017.13,0
